,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,23142971.250000004,21064.75,4,92571885.00000001,84259.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36888894.00000001,29918.0,1233.0,36888894.00000001,29918.0,1233.0,9505581.0,12297.0,773.0,9288516.0,12126.0,766.0,-0.02016738549232011,-0.020164431988650255
2019-11-15,23619311.0,21498.25,4,94477244.0,85993.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37648422.0,30534.0,1233.0,37648422.0,30534.0,1233.0,9701149.999999998,12550.0,773.0,9479250.0,12375.0,766.0,0.017250380088366546,0.0172472940202284
2019-10-15,23218778.25,21133.75,4,92875113.0,84535.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37009728.0,30016.0,1233.0,37009728.0,30016.0,1233.0,9536501.0,12337.0,773.0,9319156.0,12166.0,766.0,-0.021406510296661296,-0.021664911407640597
2019-9-15,23726683.75,21601.75,4,94906735.0,86407.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37796382.0,30654.0,1233.0,37796382.0,30654.0,1233.0,9732843.0,12591.0,773.0,9581128.0,12508.0,766.0,-0.013185156633781947,-0.013179383515492082
2019-8-15,24043703.75,21890.25,4,96174815.0,87561.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38301912.0,31064.0,1233.0,38301912.0,31064.0,1233.0,9862707.0,12759.0,773.0,9708284.0,12674.0,766.0,-0.000715569034119734,-0.0007189811010681613
2019-7-15,24060921.0,21906.0,4,96243684.0,87624.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38329038.0,31086.0,1233.0,38329038.0,31086.0,1233.0,9869664.0,12768.0,773.0,9715944.000000002,12684.0,766.0,0.01714520526814134,0.017145112424112208
2019-6-15,23655345.25,21536.75,4,94621381.0,86147.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37682946.0,30562.0,1233.0,37682946.0,30562.0,1233.0,9703469.0,12553.0,773.0,9552020.0,12470.0,766.0,-0.017910876993098346,-0.01801041868523945
2019-5-15,24086760.25,21931.75,4,96347041.0,87727.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38361096.0,31112.0,1233.0,38361096.0,31112.0,1233.0,9888989.0,12793.0,773.0,9735860.0,12710.0,766.0,0.015596777882057822,0.015593887473952295
2019-4-15,23716853.75,21595.0,4,94867415.0,86380.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37771722.0,30634.0,1233.0,37771722.0,30634.0,1233.0,9737481.0,12597.0,773.0,9586490.0,12515.0,766.0,0.025269424521676243,0.025269729736145496
2019-3-15,23132313.5,21062.75,4,92529254.0,84251.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36840807.0,29879.0,1233.0,36840807.0,29879.0,1233.0,9497078.0,12286.0,773.0,9350562.0,12207.0,766.0,0.03555910088526515,0.03555888787826644
2019-2-15,22337994.5,20339.5,4,89351978.0,81358.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",35575749.0,28853.0,1233.0,35575749.0,28853.0,1233.0,9170872.0,11864.0,773.0,9029608.0,11788.0,766.0,0.008519891274142655,0.008516071450707097
