,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",40744383.0,23869.0,1707.0,40680427.0,23393.0,1739.0,,,1079.0,,
2019-11-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",41910264.0,24552.0,1707.0,41506452.00000001,23868.0,1739.0,,,1079.0,,
2019-10-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",41206980.0,24140.0,1707.0,40795201.0,23459.0,1739.0,,,1079.0,,
2019-9-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",41628609.0,24387.0,1707.0,41930768.00000001,24112.0,1739.0,,,1079.0,,
2019-8-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",42183384.0,24712.0,1707.0,42487248.0,24432.0,1739.0,,,1079.0,,
2019-7-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",42212403.0,24729.0,1707.0,42518550.0,24450.0,1739.0,,,1079.0,,
2019-6-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",41502291.0,24313.0,1707.0,41800343.0,24037.0,1739.0,,,1079.0,,
2019-5-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",42296046.0,24778.0,1707.0,42600283.0,24497.0,1739.0,,,1079.0,,
2019-4-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",41647386.0,24398.0,1707.0,41946419.0,24121.0,1739.0,,,1079.0,,
2019-3-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",40621479.0,23797.0,1707.0,40913453.0,23527.0,1739.0,,,1079.0,,
2019-2-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",39226860.0,22980.0,1707.0,39506602.0,22718.0,1739.0,,,1079.0,,
2019-1-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",38893995.0,22785.0,1707.0,39172714.0,22526.0,1739.0,,,1079.0,,
2018-12-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",38443347.0,22521.0,1707.0,38717096.0,22264.0,1739.0,,,1079.0,,
2018-11-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",39926729.99999999,23390.0,1707.0,40210897.0,23123.0,1739.0,,,1079.0,,
2018-10-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",40836561.0,23923.0,1707.0,41127350.0,23650.0,1739.0,,,1079.0,,
2018-9-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",42398466.0,24838.0,1707.0,42699406.0,24554.0,1739.0,,,1079.0,,
2018-8-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",43562640.0,25520.0,1707.0,43871492.0,25228.0,1739.0,,,1079.0,,
2018-7-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",43111992.0,25256.0,1707.0,43417613.0,24967.0,1739.0,,,1079.0,,
2018-6-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",42746694.0,25042.0,1707.0,43048945.0,24755.0,1739.0,,,1079.0,,
2018-5-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",41633730.0,24390.0,1707.0,41927290.0,24110.0,1739.0,,,1079.0,,
2018-4-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",40744383.0,23869.0,1707.0,41031704.99999999,23595.0,1739.0,,,1079.0,,
2018-3-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",39919902.0,23386.0,1707.0,40200463.0,23117.0,1739.0,,,1079.0,,
2018-2-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2018-1-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-12-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-11-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-10-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-9-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-8-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-7-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-6-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-5-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-4-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-3-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-2-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2017-1-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-12-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-11-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-10-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-9-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-8-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-7-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-6-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-5-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-4-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-3-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-2-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
2016-1-15,,,3,,,4525,"ONTOLO(Block 2),FO YIN RD|朗濤2座,科研路",,,1707.0,,,1739.0,,,1079.0,,
