,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_7,npsf_7,nfa_7,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3591268.5,9627.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2557240.0,9133.0,280.0,4625297.0,10121.0,457.0,,0.017385913134033926,0.017384412153236495
2022-11-15,3529898.0,9462.5,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2513560.0,8977.0,280.0,4546236.0,9948.0,457.0,,-0.03615492796415154,-0.03615991851285971
2022-10-15,3662308.5,9817.5,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2607920.0,9314.0,280.0,4716697.0,10321.0,457.0,,-0.058548371486289996,-0.05854430379746833
2022-9-15,3890065.5000000005,10428.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2770040.0,9893.0,280.0,5010091.000000001,10963.0,457.0,,-0.00992476445705015,-0.00992167101827679
2022-8-15,3929060.5,10532.5,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2797760.0,9992.0,280.0,5060361.0,11073.0,457.0,,0.14073967510759422,0.14074515325463022
2022-7-15,3444309.5,9233.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2452520.0,8759.0,280.0,4436099.0,9707.0,457.0,,-0.14023054927691248,-0.14023652109134932
2022-6-15,4006085.0,10739.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2852640.0,10188.0,280.0,5159530.0,11290.0,457.0,,0.002142327707596703,0.0021463232549459033
2022-5-15,3997521.0,10716.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2846480.0,10166.0,280.0,5148562.0,11266.0,457.0,,-0.04038384444577803,-0.04038685412375753
2022-4-15,4165750.0,11167.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2966320.0,10594.0,280.0,5365180.0,11740.0,457.0,,0.01847110391559137,0.018468694422910215
2022-3-15,4090199.5,10964.5,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2912560.0,10402.0,280.0,5267839.0,11527.0,457.0,,0.0168362719877011,0.016832050449782088
2022-2-15,4022476.0,10783.0,"KEI WAH COURT,TIN CHIU ST|驥華苑,電照街",2864400.0,10230.0,280.0,5180552.0,11336.0,457.0,,0.00027490627884207974,0.00027829313543592527
