,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8740386.3,23986.6,"ARBOUR,TAK SHING ST|本木,德成街",8600550.0,24573.0,350.0,12281885.0,24035.0,511.0,6737152.0,26317.0,256.0,11770374.0,23034.0,511.0,8203300.0,23438.0,350.0,8196110.0,24466.0,335.0,8901144.0,23548.0,378.0,6112256.0,23876.0,256.0,8765442.0,23189.0,378.0,7835650.0,23390.0,335.0,,-0.023123216237844635,-0.023128143517481603
2020-11-15,8947276.1,24554.5,"ARBOUR,TAK SHING ST|本木,德成街",8803550.0,25153.0,350.0,12572644.000000002,24604.0,511.0,6896640.0,26940.0,256.0,12048358.0,23578.0,511.0,8397900.0,23994.0,350.0,8390410.0,25046.0,335.0,9111312.0,24104.0,378.0,6257408.0,24443.0,256.0,8972964.0,23738.0,378.0,8021575.0,23945.0,335.0,,-0.020187050124148342,-0.020191137447377328
2020-10-15,9131616.5,25060.5,"ARBOUR,TAK SHING ST|本木,德成街",8984150.0,25669.0,350.0,12831721.0,25111.0,511.0,7038720.0,27495.0,256.0,12296704.0,24064.0,511.0,8571150.0,24489.0,350.0,8563605.0,25563.0,335.0,9298422.0,24599.0,378.0,6387200.0,24950.0,256.0,9157428.0,24226.0,378.0,8187065.0,24439.0,335.0,,0.00409552269935598,0.004090807103019456
2020-9-15,9094370.3,24958.4,"ARBOUR,TAK SHING ST|本木,德成街",8946350.0,25561.0,350.0,12779599.0,25009.0,511.0,7010048.000000001,27383.0,256.0,12246115.0,23965.0,511.0,8536150.0,24389.0,350.0,8529100.0,25460.0,335.0,9260244.0,24498.0,378.0,6361856.0,24851.0,256.0,9120006.0,24127.0,378.0,8154235.0,24341.0,335.0,,-0.08430129405090114,-0.08430711431852445
2020-8-15,9931618.6,27256.3,"ARBOUR,TAK SHING ST|本木,德成街",9769200.0,27912.0,350.0,13956432.0,27312.0,511.0,7655424.0,29904.0,256.0,13372870.0,26170.0,511.0,9322250.0,26635.0,350.0,9314675.0,27805.0,335.0,10111878.0,26751.0,378.0,6948608.0,27143.0,256.0,9959544.0,26348.0,378.0,8905305.0,26583.0,335.0,,0.11376171608607755,0.11375672185809305
2020-7-15,8917184.4,24472.4,"ARBOUR,TAK SHING ST|本木,德成街",8770300.0,25058.0,350.0,12530741.999999998,24522.0,511.0,6873600.0,26850.0,256.0,12006967.0,23497.0,511.0,8370250.0,23915.0,350.0,8363610.0,24966.0,335.0,9078426.0,24017.0,378.0,6239488.0,24373.0,256.0,8942346.0,23657.0,378.0,7996115.0,23869.0,335.0,,-0.04348034744597751,-0.043486417822943046
2020-6-15,9322531.3,25585.0,"ARBOUR,TAK SHING ST|本木,德成街",9167900.0,26194.0,350.0,13100507.0,25637.0,511.0,7185920.0,28070.0,256.0,12552204.0,24564.0,511.0,8751050.0,25003.0,350.0,8744170.0,26102.0,335.0,9490446.0,25107.0,378.0,6524160.0,25485.0,256.0,9348696.0,24732.0,378.0,8360260.0,24956.0,335.0,,-0.07977924410038806,-0.07978549308894989
2020-5-15,10130755.3,27803.3,"ARBOUR,TAK SHING ST|本木,德成街",9961700.0,28462.0,350.0,14235949.0,27859.0,511.0,7809024.0,30504.0,256.0,13640123.0,26693.0,511.0,9510200.0,27172.0,350.0,9502610.0,28366.0,335.0,10312596.0,27282.0,378.0,7090688.0,27698.0,256.0,10159128.0,26876.0,378.0,9085535.0,27121.0,335.0,,0.10921918849486723,0.10921255256165763
2020-4-15,9133231.2,25065.8,"ARBOUR,TAK SHING ST|本木,德成街",8979600.0,25656.0,350.0,12834276.0,25116.0,511.0,7040256.0,27501.0,256.0,12296704.0,24064.0,511.0,8573950.0,24497.0,350.0,8567290.0,25574.0,335.0,9296910.0,24595.0,378.0,6393344.0,24974.0,256.0,9158562.0,24229.0,378.0,8191420.0,24452.0,335.0,,-0.0513043549346095,-0.05131048577862729
2020-3-15,9627145.7,26421.5,"ARBOUR,TAK SHING ST|本木,德成街",9464000.0,27040.0,350.0,13528214.0,26474.0,511.0,7420928.0,28988.0,256.0,12961515.000000002,25365.0,511.0,9038050.0,25823.0,350.0,9030930.0,26958.0,335.0,9798894.0,25923.0,378.0,6740224.0,26329.0,256.0,9653742.0,25539.0,378.0,8634960.0,25776.0,335.0,,-0.1168119642049592,-0.11681630688389566
2020-2-15,10900448.5,29916.2,"ARBOUR,TAK SHING ST|本木,德成街",10714550.0,30613.0,350.0,15317736.0,29976.0,511.0,8402432.0,32822.0,256.0,14675409.0,28719.0,511.0,10233650.0,29239.0,350.0,10225875.0,30525.0,335.0,11093922.0,29349.0,378.0,7632640.0,29815.0,256.0,10930626.0,28917.0,378.0,9777645.0,29187.0,335.0,,0.34255850256644127,0.3425510813127439
2020-1-15,8119160.9,22283.1,"ARBOUR,TAK SHING ST|本木,德成街",7979650.0,22799.0,350.0,11409608.0,22328.0,511.0,6258688.0,24448.0,256.0,10930801.0,21391.0,511.0,7622649.999999999,21779.0,350.0,7616895.0,22737.0,335.0,8262702.0,21859.0,378.0,5686015.999999999,22211.0,256.0,8141364.0,21538.0,378.0,7283235.0,21741.0,335.0,,-0.08912503257387683,-0.08913242531761478
2019-12-15,8913584.4,24463.6,"ARBOUR,TAK SHING ST|本木,德成街",8759450.0,25027.0,350.0,12525632.0,24512.0,511.0,6871040.0,26840.0,256.0,11999813.0,23483.0,511.0,8368850.0,23911.0,350.0,8362605.0,24963.0,335.0,9070488.0,23996.0,378.0,6243328.0,24388.0,256.0,8938188.0,23646.0,378.0,7996450.0,23870.0,335.0,,-0.10499678470616602,-0.10500224996981755
2019-11-15,9959276.4,27333.7,"ARBOUR,TAK SHING ST|本木,德成街",9785650.0,27959.0,350.0,13995268.0,27388.0,511.0,7677184.0,29989.0,256.0,13407107.0,26237.0,511.0,9350950.0,26717.0,350.0,9344155.0,27893.0,335.0,10134180.0,26810.0,378.0,6976768.0,27253.0,256.0,9986382.0,26419.0,378.0,8935120.0,26672.0,335.0,,0.1810186131502718,0.1810121714633841
2019-10-15,8432785.3,23144.3,"ARBOUR,TAK SHING ST|本木,德成街",8284850.0,23671.0,350.0,11850090.0,23190.0,511.0,6500352.0,25392.0,256.0,11351865.0,22215.0,511.0,7918049.999999999,22623.0,350.0,7912365.0,23619.0,335.0,8580222.0,22699.0,378.0,5908224.0,23079.0,256.0,8455860.0,22370.0,378.0,7565975.0,22585.0,335.0,,0.057795713862700104,0.05778819830072335
2019-9-15,7972035.8,21879.9,"ARBOUR,TAK SHING ST|本木,德成街",7831249.999999999,22375.0,350.0,11202653.0,21923.0,511.0,6145280.000000001,24005.0,256.0,10731511.0,21001.0,511.0,7485450.0,21387.0,350.0,7480550.0,22330.0,335.0,8110746.0,21457.0,378.0,5586431.999999999,21822.0,256.0,7993566.0,21147.0,378.0,7152920.0,21352.0,335.0,,-0.2303346089813737,-0.23033980582524272
2019-8-15,10357794.3,28428.0,"ARBOUR,TAK SHING ST|本木,德成街",10173450.0,29067.0,350.0,14555324.0,28484.0,511.0,7984384.0,31189.0,256.0,13942635.0,27285.0,511.0,9726150.0,27789.0,350.0,9719690.0,29014.0,335.0,10537128.0,27876.0,378.0,7259392.0,28357.0,256.0,10385550.0,27475.0,378.0,9294240.0,27744.0,335.0,,0.03763241321086386,0.03762428277342211
2019-7-15,9982142.2,27397.2,"ARBOUR,TAK SHING ST|本木,德成街",9803150.0,28009.0,350.0,14027461.0,27451.0,511.0,7694848.0,30058.0,256.0,13436234.0,26294.0,511.0,9373700.0,26782.0,350.0,9367605.0,27963.0,335.0,10154214.0,26863.0,378.0,6997248.0,27333.0,256.0,10009062.0,26479.0,378.0,8957900.0,26740.0,335.0,,0.07849482988914969,0.07854924237950711
2019-6-15,9255623.6,25401.9,"ARBOUR,TAK SHING ST|本木,德成街",9089500.0,25970.0,350.0,13008527.0,25457.0,511.0,7123456.0,27826.0,256.0,12459713.0,24383.0,511.0,8692950.0,24837.0,350.0,8687555.0,25933.0,335.0,9415602.0,24909.0,378.0,6489856.0,25351.0,256.0,9281412.0,24554.0,378.0,8307665.0,24799.0,335.0,,,
2019-5-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2019-4-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2019-3-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2019-2-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2019-1-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
2018-12-15,,,"ARBOUR,TAK SHING ST|本木,德成街",,,350.0,,,511.0,,,256.0,,,511.0,,,350.0,,,335.0,,,378.0,,,256.0,,,378.0,,,335.0,,,
