,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_A9,npsf_A9,nfa_A9,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C5,npsf_C5,nfa_C5,lumpSum_C6,npsf_C6,nfa_C6,lumpSum_C7,npsf_C7,nfa_C7,lumpSum_C8,npsf_C8,nfa_C8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5986937.095238095,13215.380952380952,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11399142.0,12101.0,942.0,5976519.0,12689.0,471.0,6182728.0,13099.0,472.0,4569356.0,14324.0,319.0,4589453.0,14387.0,319.0,6438552.0,13641.0,472.0,6385818.0,13558.0,471.0,5478216.0,11832.0,463.0,8722948.0,14092.0,619.0,5836632.0,12392.0,471.0,5856750.0,13015.0,450.0,4285044.0,12868.0,333.0,4466826.0,12726.0,351.0,4628637.0,13187.0,351.0,5662953.0,12231.0,463.0,8777420.0,14180.0,619.0,6759792.0,14352.0,471.0,6354000.0,14120.0,450.0,4421241.0,13277.0,333.0,4466826.0,12726.0,351.0,4466826.0,12726.0,351.0,,0.010171863513851465,0.01017369907690524
2020-11-15,5926652.0,13082.285714285714,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11284218.0,11979.0,942.0,5917644.0,12564.0,471.0,6119480.0,12965.0,472.0,4524058.0,14182.0,319.0,4543517.0,14243.0,319.0,6373888.0,13504.0,472.0,6321762.0,13422.0,471.0,5422193.0,11711.0,463.0,8636288.0,13952.0,619.0,5777757.0,12267.0,471.0,5798700.0,12886.0,450.0,4241088.0,12736.0,333.0,4421196.0,12596.0,351.0,4582305.0,13055.0,351.0,5605078.0,12106.0,463.0,8689522.0,14038.0,619.0,6690555.0,14205.0,471.0,6290100.0,13978.0,450.0,4377951.0,13147.0,333.0,4421196.0,12596.0,351.0,4421196.0,12596.0,351.0,,-0.02523012371870026,-0.0252307168276924
2020-10-15,6080052.476190476,13420.904761904761,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11576238.0,12289.0,942.0,6071661.0,12891.0,471.0,6277128.0,13299.0,472.0,4641769.0,14551.0,319.0,4661228.0,14612.0,319.0,6539088.0,13854.0,472.0,6486141.0,13771.0,471.0,5561093.0,12011.0,463.0,8860985.0,14315.0,619.0,5927535.0,12585.0,471.0,5949900.0,13222.0,450.0,4349646.0,13062.0,333.0,4535271.0,12921.0,351.0,4701294.0,13394.0,351.0,5748608.0,12416.0,463.0,8914219.0,14401.0,619.0,6862470.0,14570.0,471.0,6453450.0,14341.0,450.0,4492836.0,13492.0,333.0,4535271.0,12921.0,351.0,4535271.0,12921.0,351.0,,-0.013911984681168388,-0.013911096338540707
2020-9-15,6165831.428571428,13610.238095238095,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11739204.0,12462.0,942.0,6157854.0,13074.0,471.0,6364920.0,13485.0,472.0,4707802.0,14758.0,319.0,4726942.0,14818.0,319.0,6631128.0,14049.0,472.0,6578928.0,13968.0,471.0,5637951.0,12177.0,463.0,8986642.0,14518.0,619.0,6011373.0,12763.0,471.0,6034500.0,13410.0,450.0,4410252.0,13244.0,333.0,4598802.0,13102.0,351.0,4767633.0,13583.0,351.0,5828707.0,12589.0,463.0,9041114.0,14606.0,619.0,6958083.0,14773.0,471.0,6545250.0,14545.0,450.0,4557771.0,13687.0,333.0,4598802.0,13102.0,351.0,4598802.0,13102.0,351.0,,0.038101014834300395,0.038111738255569794
2020-8-15,5939529.333333333,13110.57142857143,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11314362.0,12011.0,942.0,5935542.0,12602.0,471.0,6133168.0,12994.0,472.0,4537775.0,14225.0,319.0,4555639.0,14281.0,319.0,6390880.0,13540.0,472.0,6341544.0,13464.0,471.0,5432379.0,11733.0,463.0,8662286.0,13994.0,619.0,5793300.0,12300.0,471.0,5816700.0,12926.0,450.0,4249080.0,12760.0,333.0,4431726.0,12626.0,351.0,4594941.0,13091.0,351.0,5616190.0,12130.0,463.0,8714282.0,14078.0,619.0,6704685.0,14235.0,471.0,6248250.0,13885.0,450.0,4393935.0,13195.0,333.0,4431726.0,12626.0,351.0,4431726.0,12626.0,351.0,,-0.051843215682640054,-0.05186924899443479
2020-7-15,6264290.285714285,13827.809523809523,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11938908.0,12674.0,942.0,6265713.0,13303.0,471.0,6472536.0,13713.0,472.0,4790104.0,15016.0,319.0,4808287.0,15073.0,319.0,6744880.0,14290.0,472.0,6694794.0,14214.0,471.0,5673602.0,12254.0,463.0,9143868.0,14772.0,619.0,6114522.0,12982.0,471.0,6140250.0,13645.0,450.0,4483845.0,13465.0,333.0,4677075.0,13325.0,351.0,4850118.0,13818.0,351.0,5926400.0,12800.0,463.0,9198959.0,14861.0,619.0,7039095.0,14945.0,471.0,6594300.0,14654.0,450.0,4638690.0,13930.0,333.0,4677075.0,13325.0,351.0,4677075.0,13325.0,351.0,,0.033352850897072184,0.0333876627212617
2020-6-15,6062101.904761905,13381.047619047618,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11538558.0,12249.0,942.0,6058002.0,12862.0,471.0,6256360.0,13255.0,472.0,4631242.0,14518.0,319.0,4648149.0,14571.0,319.0,6520680.0,13815.0,472.0,6512046.0,13826.0,471.0,5483772.0,11844.0,463.0,8840558.0,14282.0,619.0,5911050.0,12550.0,471.0,5936850.0,13193.0,450.0,4333662.0,13014.0,333.0,4520880.0,12880.0,351.0,4689009.0,13359.0,351.0,5728236.0,12372.0,463.0,8895030.0,14370.0,619.0,6896853.0,14643.0,471.0,6375600.0,14168.0,450.0,4485843.0,13471.0,333.0,4520880.0,12880.0,351.0,4520880.0,12880.0,351.0,,0.0034531064250455934,0.0034495564855947514
2020-5-15,6041240.857142857,13335.047619047618,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11497110.0,12205.0,942.0,6037278.0,12818.0,471.0,6235120.0,13210.0,472.0,4615611.0,14469.0,319.0,4632199.0,14521.0,319.0,6498496.0,13768.0,472.0,6488967.0,13777.0,471.0,5464789.0,11803.0,463.0,8810227.0,14233.0,619.0,5890797.0,12507.0,471.0,5916600.0,13148.0,450.0,4318011.0,12967.0,333.0,4505085.0,12835.0,351.0,4672863.0,13313.0,351.0,5707864.0,12328.0,463.0,8865318.0,14322.0,619.0,6874245.0,14595.0,471.0,6354450.0,14121.0,450.0,4470858.0,13426.0,333.0,4505085.0,12835.0,351.0,4505085.0,12835.0,351.0,,0.010314841071948022,0.010314708651872229
2020-4-15,5979562.619047619,13198.904761904761,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11379360.0,12080.0,942.0,5974635.0,12685.0,471.0,6171872.0,13076.0,472.0,4567761.0,14319.0,319.0,4584668.0,14372.0,319.0,6431944.0,13627.0,472.0,6422556.0,13636.0,471.0,5410155.0,11685.0,463.0,8719234.0,14086.0,619.0,5830509.0,12379.0,471.0,5855400.0,13012.0,450.0,4274721.0,12837.0,333.0,4459455.0,12705.0,351.0,4624776.0,13176.0,351.0,5650452.0,12204.0,463.0,8774944.0,14176.0,619.0,6805008.0,14448.0,471.0,6290550.0,13979.0,450.0,4423905.0,13285.0,333.0,4459455.0,12705.0,351.0,4459455.0,12705.0,351.0,,0.0074213667879456935,0.007421811110909227
2020-3-15,5935513.0,13101.666666666666,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11295522.0,11991.0,942.0,5929890.0,12590.0,471.0,6127032.0,12981.0,472.0,4533628.0,14212.0,319.0,4550854.0,14266.0,319.0,6384272.0,13526.0,472.0,6374985.0,13535.0,471.0,5371726.0,11602.0,463.0,8654239.0,13981.0,619.0,5787177.0,12287.0,471.0,5811300.0,12914.0,450.0,4244085.0,12745.0,333.0,4426812.0,12612.0,351.0,4590378.0,13078.0,351.0,5609708.0,12116.0,463.0,8709949.0,14071.0,619.0,6755553.0,14343.0,471.0,6245100.0,13878.0,450.0,4389939.0,13183.0,333.0,4426812.0,12612.0,351.0,4426812.0,12612.0,351.0,,-0.03151357355475737,-0.031514882712398995
2020-2-15,6128648.619047619,13528.0,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11662902.0,12381.0,942.0,6121587.0,12997.0,471.0,6327160.0,13405.0,472.0,4680368.0,14672.0,319.0,4698870.0,14730.0,319.0,6591952.0,13966.0,472.0,6582225.0,13975.0,471.0,5547666.0,11982.0,463.0,8934646.0,14434.0,619.0,5975577.0,12687.0,471.0,5999400.0,13332.0,450.0,4383279.0,13163.0,333.0,4571073.0,13023.0,351.0,4739553.0,13503.0,351.0,5793519.0,12513.0,463.0,8992832.0,14528.0,619.0,6976452.0,14812.0,471.0,6448950.0,14331.0,450.0,4531464.0,13608.0,333.0,4571073.0,13023.0,351.0,4571073.0,13023.0,351.0,,0.00684414615043516,0.006843707581240199
