,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,4540626.0,14880.692307692309,13,59028138.0,193449.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6226610.0,14755.0,422.0,3248435.0,15109.0,215.0,3290637.0,15449.0,213.0,3196701.0,15443.0,207.0,3178345.0,14783.0,215.0,5299448.0,13519.0,392.0,5296955.0,15265.0,347.0,6112775.0,14383.0,425.0,4617270.0,14658.0,315.0,4436880.0,14595.0,304.0,4685438.0,14506.0,323.0,3432280.0,16190.0,212.0,6006364.0,14794.0,406.0,-0.030842382318750028,-0.030850621471190776
2019-11-15,4685126.461538462,15354.384615384615,13,60906644.0,199607.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6425372.0,15226.0,422.0,3351850.0,15590.0,215.0,3395646.0,15942.0,213.0,3298545.0,15935.0,207.0,3279610.0,15254.0,215.0,5467616.0,13948.0,392.0,5465944.0,15752.0,347.0,6306575.0,14839.0,425.0,4763745.0,15123.0,315.0,4578544.0,15061.0,304.0,4834341.0,14967.0,323.0,3541672.0,16706.0,212.0,6197184.0,15264.0,406.0,-0.011370498760955416,-0.011376693874316612
2019-10-15,4739011.384615385,15531.076923076924,13,61607148.0,201904.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6499644.0,15402.0,422.0,3390120.0,15768.0,215.0,3434838.0,16126.0,213.0,3336840.0,16120.0,207.0,3317450.0,15430.0,215.0,5529944.0,14107.0,392.0,5529098.0,15934.0,347.0,6378825.0,15009.0,425.0,4818240.0,15296.0,315.0,4632048.0,15237.0,304.0,4889897.0,15139.0,323.0,3582376.0,16898.0,212.0,6267828.0,15438.0,406.0,-0.001820801381060444,-0.0018292019735605125
2019-9-15,4747655.923076923,15559.538461538461,13,61719527.0,202274.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6511882.0,15431.0,422.0,3396355.0,15797.0,215.0,3441228.0,16156.0,213.0,3343050.0,16150.0,207.0,3323685.0,15459.0,215.0,5539352.0,14131.0,392.0,5539508.0,15964.0,347.0,6389875.0,15035.0,425.0,4826745.0,15323.0,315.0,4641168.0,15267.0,304.0,4898941.0,15167.0,323.0,3588948.0,16929.0,212.0,6278790.0,15465.0,406.0,-0.04904447419806923,-0.04905316208135102
2019-8-15,4992511.0,16362.153846153846,13,64902643.0,212708.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6848216.0,16228.0,422.0,3571365.0,16611.0,215.0,3618870.0000000005,16990.0,213.0,3515687.9999999995,16984.0,207.0,3495255.0000000005,16257.0,215.0,5824336.0,14858.0,392.0,5825436.0,16788.0,347.0,6718825.0,15809.0,425.0,5075595.0,16113.0,315.0,4881328.0,16057.0,304.0,5151527.0,15949.0,323.0,3774235.9999999995,17803.0,212.0,6601966.0,16261.0,406.0,0.024849617338473573,0.024841967314215285
2019-7-15,4871457.153846154,15965.538461538461,13,63328943.0,207552.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6682792.0,15836.0,422.0,3484505.0,16207.0,215.0,3531326.9999999995,16579.0,213.0,3430818.0,16574.0,207.0,3410760.0,15864.0,215.0,5682824.0,14497.0,392.0,5684554.0,16382.0,347.0,6555200.0,15424.0,425.0,4952115.0,15721.0,315.0,4763680.0,15670.0,304.0,5026526.0,15562.0,323.0,3682652.0000000005,17371.0,212.0,6441190.0,15865.0,406.0,0.0021973856976624795,0.002187359668564204
2019-6-15,4860776.153846154,15930.692307692309,13,63190090.0,207099.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6668444.0,15802.0,422.0,3476765.0,16171.0,215.0,3523872.0,16544.0,213.0,3423573.0,16539.0,207.0,3403450.0,15830.0,215.0,5669496.0,14463.0,392.0,5672409.0,16347.0,347.0,6540325.0,15389.0,425.0,4941090.0,15686.0,315.0,4753952.0,15638.0,304.0,5015544.0,15528.0,323.0,3674596.0,17333.0,212.0,6426574.0,15829.0,406.0,-0.009107976718037869,-0.009114658092668093
2019-5-15,4905454.923076923,16077.23076923077,13,63770914.0,209004.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6730478.0,15949.0,422.0,3508585.0,16319.0,215.0,3556460.9999999995,16697.0,213.0,3455243.9999999995,16692.0,207.0,3434840.0000000005,15976.0,215.0,5721240.0,14595.0,392.0,5724806.0,16498.0,347.0,6599825.0,15529.0,425.0,4986135.0,15829.0,315.0,4798336.0,15784.0,304.0,5061410.0,15670.0,323.0,3708516.0,17493.0,212.0,6485038.0,15973.0,406.0,0.0415992476158058,0.04158796764660444
2019-4-15,4709541.538461538,15435.307692307691,13,61224040.0,200659.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6462086.0,15313.0,422.0,3368405.0,15667.0,215.0,3414603.0,16031.0,213.0,3317589.0,16027.0,207.0,3297885.0,15339.0,215.0,5492312.0,14011.0,392.0,5496480.0,15840.0,347.0,6335475.0,14907.0,425.0,4786425.0,15195.0,315.0,4607424.0,15156.0,304.0,4859212.0,15044.0,323.0,3560540.0,16795.0,212.0,6225604.0,15334.0,406.0,0.008649795681991757,0.008640796219965718
2019-3-15,4669154.307692308,15303.076923076924,13,60699006.0,198940.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6407226.0,15183.0,422.0,3339380.0,15532.0,215.0,3385635.0,15895.0,213.0,3289437.0,15891.0,207.0,3269720.0,15208.0,215.0,5444488.0,13889.0,392.0,5449635.0,15705.0,347.0,6280650.0,14778.0,425.0,4745160.0,15064.0,315.0,4568512.0,15028.0,304.0,4817545.0,14915.0,323.0,3530012.0,16651.0,212.0,6171606.0,15201.0,406.0,0.04677817870824175,0.04605612548046345
2019-2-15,4460500.230769231,14629.307692307691,13,57986503.0,190181.0,3996,"SEACOAST ROYALE(THE ROYALE),Block 5,Phase 1,8 CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),第1期,第5座,8 青山公路青山灣段",6146852.0,14566.0,422.0,3203500.0,14900.0,215.0,3248250.0,15250.0,213.0,3155922.0,15246.0,207.0,3137065.0,14591.0,215.0,5125008.0,13074.0,392.0,5080774.0,14642.0,347.0,6024800.0,14176.0,425.0,4552065.0,14451.0,315.0,4383680.0,14420.0,304.0,4621807.0,14309.0,323.0,3386488.0,15974.0,212.0,5920292.0,14582.0,406.0,,
