,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,4302196.0,15970.875,8,34417568.0,127767.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",4994275.0,15367.0,325.0,4951590.0,15330.0,323.0,4646340.0,14940.0,311.0,3716832.0,16593.0,224.0,3552613.0,15931.0,223.0,3778066.0000000005,16942.0,223.0,3777619.9999999995,16940.0,223.0,5000232.0,15724.0,318.0,-0.030818625558082458,-0.030812643652003757
2019-11-15,4438999.875,16478.625,8,35511999.0,131829.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5153850.0,15858.0,325.0,5108568.0,15816.0,323.0,4794065.0,15415.0,311.0,3835104.0,17121.0,224.0,3665896.9999999995,16439.0,223.0,3897594.0000000005,17478.0,223.0,3897371.0,17477.0,223.0,5159550.0,16225.0,318.0,-0.01133633549820201,-0.0113393479874907
2019-10-15,4489898.875,16667.625,8,35919191.0,133341.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5212675.0,16039.0,325.0,5167354.0,15998.0,323.0,4848801.0,15591.0,311.0,3879008.0,17317.0,224.0,3707820.9999999995,16627.0,223.0,3942640.0,17680.0,223.0,3942194.0,17678.0,223.0,5218698.0,16411.0,318.0,-0.001802548428812334,-0.0018116077644610984
2019-9-15,4498006.75,16697.875,8,35984054.0,133583.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5221450.0,16066.0,325.0,5176721.0,16027.0,323.0,4857820.0,15620.0,311.0,3885952.0,17348.0,224.0,3714511.0,16657.0,223.0,3950222.0,17714.0,223.0,3949775.9999999995,17712.0,223.0,5227602.0,16439.0,318.0,-0.049010757547527595,-0.049014722214312134
2019-8-15,4729818.75,17558.5,8,37838550.0,140468.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5489575.0,16891.0,325.0,5444165.0,16855.0,323.0,5108486.0,16426.0,311.0,4085984.0000000005,18241.0,224.0,3905622.0000000005,17514.0,223.0,4154267.0,18629.0,223.0,4153821.0,18627.0,223.0,5496630.0,17285.0,318.0,0.024850683365150283,0.024842590633504358
2019-7-15,4615129.625,17132.875,8,36921037.0,137063.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5355675.0,16479.0,325.0,5312381.0,16447.0,323.0,4985019.0,16029.0,311.0,3986752.0,17798.0,224.0,3810624.0,17088.0,223.0,4054139.9999999995,18180.0,223.0,4053694.0,18178.0,223.0,5362752.0,16864.0,318.0,0.0022253283458009143,0.002215560105294001
2019-6-15,4604882.25,17095.0,8,36839058.0,136760.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5342675.0,16439.0,325.0,5300753.0,16411.0,323.0,4974134.0,15994.0,311.0,3977792.0,17758.0,224.0,3802150.0,17050.0,223.0,4045665.9999999995,18142.0,223.0,4045220.0,18140.0,223.0,5350668.0,16826.0,318.0,-0.009080167249165272,-0.009086034750097838
2019-5-15,4647078.5,17251.75,8,37176628.0,138014.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5390775.0,16587.0,325.0,5349849.0,16563.0,323.0,5019851.0,16141.0,311.0,4013856.0,17919.0,224.0,3836715.0,17205.0,223.0,4083353.0,18311.0,223.0,4082906.9999999995,18309.0,223.0,5399322.0,16979.0,318.0,0.04162215508812728,0.04161509433962274
2019-4-15,4461386.0,16562.5,8,35691088.0,132500.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5174650.0,15922.0,325.0,5136346.0,15902.0,323.0,4819567.0,15497.0,311.0,3853472.0,17203.0,224.0,3683291.0000000005,16517.0,223.0,3920563.0000000005,17581.0,223.0,3920116.9999999995,17579.0,223.0,5183082.0,16299.0,318.0,0.008679979140828742,0.008670762250591935
2019-3-15,4422994.5,16420.125,8,35383956.0,131361.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",5129150.0,15782.0,325.0,5092418.0,15766.0,323.0,4778515.0,15365.0,311.0,3820096.0,17054.0,224.0,3651402.0,16374.0,223.0,3887559.0,17433.0,223.0,3886890.0,17430.0,223.0,5137926.0,16157.0,318.0,0.04239704246868814,0.042390433188646215
2019-2-15,4243099.625,15752.375,8,33944797.0,126019.0,2170,"EMERALD BAY(Block 2),KWUN CHUI RD|恆大•珺瓏灣2座,管翠路",4919850.0,15138.0,325.0,4885698.0,15126.0,323.0,4584140.0,14740.0,311.0,3664416.0,16359.0,224.0,3502661.0,15707.0,223.0,3729898.0,16726.0,223.0,3729452.0,16724.0,223.0,4928682.0,15499.0,318.0,-0.0024930622970243954,-0.002501286262714175
