,lumpSum_avg,npsf_avg,final_address,lumpSum_33A,npsf_33A,nfa_33A,lumpSum_33B,npsf_33B,nfa_33B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,29703366.0,13505.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29503188.0,13546.0,2178.0,29903544.0,13464.0,2221.0,,0.01013494332637399,0.010135008788660693
2020-11-15,29405344.5,13369.5,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29206980.0,13410.0,2178.0,29603708.999999996,13329.0,2221.0,,-0.0252628490223763,-0.02526246719160108
2020-10-15,30167460.5,13716.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29962746.0,13757.0,2178.0,30372175.0,13675.0,2221.0,,-0.013911409887728432,-0.0139113555483662
2020-9-15,30593053.0,13909.5,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",30385277.999999996,13951.0,2178.0,30800828.000000004,13868.0,2221.0,,0.03759689001619204,0.03759650889560251
2020-8-15,29484526.5,13405.5,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29285388.0,13446.0,2178.0,29683665.000000004,13365.0,2221.0,,-0.0525145610139649,-0.05251440081987491
2020-7-15,31118712.0,14148.5,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",30907998.0,14191.0,2178.0,31329426.0,14106.0,2221.0,,0.03439823976159717,0.034398303845591505
2020-6-15,30083879.5,13678.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29879982.0,13719.0,2178.0,30287777.0,13637.0,2221.0,,0.0034481242692958602,0.003448022889003033
2020-5-15,29980503.0,13631.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29777616.000000004,13672.0,2178.0,30183390.0,13590.0,2221.0,,0.01026490096351984,0.010264962015934742
2020-4-15,29675883.0,13492.5,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29474874.0,13533.0,2178.0,29876892.0,13452.0,2221.0,,0.0073538888966020455,0.0073540391219948376
2020-3-15,29459243.0,13394.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29259252.0,13434.0,2178.0,29659234.000000004,13354.0,2221.0,,-0.031560546649794685,-0.03156068110335852
2020-2-15,30419292.5,13830.5,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",30213216.0,13872.0,2178.0,30625369.0,13789.0,2221.0,,0.006879577000117765,0.006879732090856239
2020-1-15,30211450.500000004,13736.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",30006306.000000004,13777.0,2178.0,30416595.000000004,13695.0,2221.0,,0.024998134413145356,0.02499813446757715
2019-12-15,29474639.5,13401.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29274498.0,13441.0,2178.0,29674781.0,13361.0,2221.0,,-0.02332188410686853,-0.023321915312294994
2019-11-15,30178458.0,13721.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",29973635.999999996,13762.0,2178.0,30383280.0,13680.0,2221.0,,-0.01312622270032926,-0.01312619124680836
2019-10-15,30579856.0,13903.5,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",30372210.0,13945.0,2178.0,30787501.999999996,13862.0,2221.0,,-0.003975696306264931,-0.003975929507844422
2019-9-15,30701917.5,13959.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",30494178.0,14001.0,2178.0,30909657.0,13917.0,2221.0,,-0.045473195296858226,-0.04547319474835887
2019-8-15,32164542.0,14624.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",31946904.0,14668.0,2178.0,32382180.0,14580.0,2221.0,,0.02538219701074751,0.0253821343430094
2019-7-15,31368344.5,14262.0,"JADE GROVE(Block 33),TSING FAT LANE|琨崙33座,青發里",31156289.999999996,14305.0,2178.0,31580399.000000004,14219.0,2221.0,,0.0013688384194776582,0.0013691416535017709
