,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6439215.727109539,8770.166666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7262337.1896030335,8313.0,820.0,6738275.999999999,9411.0,716.0,6385811.297496336,8575.0,699.0,7301649.733032859,8358.0,820.0,5298103.535911402,8694.0,572.0,5649116.606613607,9270.0,572.0,,0.014445089764343111,0.008509496521455828
2020-11-15,6347525.15644329,8696.166666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7159537.962828741,8254.0,820.0,6640900.0,9275.0,716.0,6295315.5077288775,8514.0,699.0,7196836.258491648,8297.0,820.0,5222929.212387602,8632.0,572.0,5569631.997222878,9205.0,572.0,,-0.017872152783305673,-0.0025997362032383897
2020-10-15,6463033.4782094695,8718.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7231937.271777825,7992.0,820.0,6707488.0,9368.0,716.0,6359170.682436543,8244.0,699.0,7269038.051074985,8033.0,820.0,5583864.0,9762.0,572.0,5626702.863967466,8914.0,572.0,,-0.02496709269600872,-0.0018317464557614516
2020-9-15,6628528.565338415,8734.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7419686.436318334,7902.0,820.0,6889352.0,9622.0,716.0,6532136.143944564,8161.0,699.0,7466634.591445633,7952.0,820.0,5734872.0,10026.0,572.0,5728490.220321958,8746.0,572.0,,0.04206130796098351,0.026862337865903863
2020-8-15,6360977.530495353,8506.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7112034.382268141,7758.0,820.0,6602952.000000001,9222.0,716.0,6227463.954220989,7969.0,699.0,7235793.681263526,7893.0,820.0,5495776.0,9608.0,572.0,5491845.165219466,8588.0,572.0,,-0.008015134485749309,-0.009086320040383677
2020-7-15,6412373.567007785,8584.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7184423.467761489,7850.0,820.0,6663096.0,9306.0,716.0,6225704.177667071,7980.0,699.0,7307062.0339627685,7984.0,820.0,5546112.0,9696.0,572.0,5547843.722655379,8690.0,572.0,,0.006609456884357545,0.01919423777109408
2020-6-15,6370269.54510766,8422.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7139713.633273452,7649.0,820.0,6614408.0,9238.0,716.0,6186426.437951726,7775.0,699.0,7260124.544332711,7778.0,820.0,5506644.0,9627.0,572.0,5514300.6550880745,8469.0,572.0,,-0.042143399133711346,-0.11690490336560311
2020-5-15,6650546.166666667,9537.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7518580.0,9169.0,820.0,6783384.0,9474.0,716.0,6690129.0,9571.0,699.0,7658800.0,9340.0,820.0,5563844.0,9727.0,572.0,5688540.000000001,9945.0,572.0,,0.027344532734752125,0.027359879358012318
2020-4-15,6473530.5,9283.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7319320.0,8926.0,820.0,6601520.0,9220.0,716.0,6509787.0,9313.0,699.0,7457900.0,9095.0,820.0,5415123.999999999,9467.0,572.0,5537532.0,9681.0,572.0,,-0.0045356577076579585,-0.004539280863535722
2020-3-15,6503026.0,9326.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7357040.0,8972.0,820.0,6633740.0,9265.0,716.0,6517476.0,9324.0,699.0,7498900.0,9145.0,820.0,5442580.0,9515.0,572.0,5568420.0,9735.0,572.0,,0.029799319260450874,0.02979553527062606
2020-2-15,6314847.833333333,9056.166666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7143019.999999999,8711.0,820.0,6440420.0,8995.0,716.0,6328047.0,9053.0,699.0,7284060.0,8883.0,820.0,5284708.0,9239.0,572.0,5408832.0,9456.0,572.0,,-0.04446940748059525,-0.04447297154714591
