,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6411103.5,9287.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7434957.000000001,8947.0,831.0,6452283.0,8999.0,717.0,6756291.0,9423.0,717.0,7334406.0,8826.0,831.0,5242731.0,9763.0,537.0,5245953.0,9769.0,537.0,,0.014350911334725547,0.014361644035094212
2020-11-15,6320400.0,9156.333333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7330251.0,8821.0,831.0,6360507.0,8871.0,717.0,6663081.0,9293.0,717.0,7229700.0,8700.0,831.0,5168088.0,9624.0,537.0,5170773.0,9629.0,537.0,,-0.008050681635573875,-0.008106595410475204
2020-10-15,6371696.5,9231.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7405041.0,8911.0,831.0,6425754.0,8962.0,717.0,6653760.0,9280.0,717.0,7303659.0,8789.0,831.0,5220714.0,9722.0,537.0,5221251.0,9723.0,537.0,,-0.026687255075383387,-0.026658934345564544
2020-9-15,6546402.0,9484.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7608636.0,9156.0,831.0,6602136.0,9208.0,717.0,6838746.0,9538.0,717.0,7503930.0,9030.0,831.0,5363019.0,9987.0,537.0,5361945.0,9985.0,537.0,,0.043090238336104036,0.04311482622085361
2020-8-15,6275969.0,9092.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7294518.000000001,8778.0,831.0,6329676.0,8828.0,717.0,6558399.0,9147.0,717.0,7193967.0,8657.0,831.0,5141238.0,9574.0,537.0,5138016.0,9568.0,537.0,,-0.012697735745733518,-0.012579868590149701
2020-7-15,6356684.5,9207.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7369308.0,8868.0,831.0,6495303.0,9059.0,717.0,6627948.0,9244.0,717.0,7266264.0,8744.0,831.0,5193327.0,9671.0,537.0,5187957.0,9661.0,537.0,,-0.002137497113558706,-0.002509659480735116
2020-6-15,6370301.0,9231.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7321941.0,8811.0,831.0,6452283.000000001,8999.0,717.0,6565569.0,9157.0,717.0,7408365.0,8915.0,831.0,5160570.0,9610.0,537.0,5313078.0,9894.0,537.0,,-0.025835696372992212,-0.025854791051076353
2020-5-15,6539247.0,9476.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7516395.0,9045.0,831.0,6622212.0,9236.0,717.0,6739800.0,9400.0,717.0,7603650.0,9150.0,831.0,5298042.0,9866.0,537.0,5455383.0,10159.0,537.0,,0.026819886672510007,0.02680054901394202
2020-4-15,6368446.0,9228.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7320279.0,8809.0,831.0,6448698.0,8994.0,717.0,6564135.0,9155.0,717.0,7403379.0,8909.0,831.0,5160570.0,9610.0,537.0,5313615.0,9895.0,537.0,,-0.002177648041405522,-0.0023242824453613142
2020-3-15,6382344.5,9250.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7360998.0,8858.0,831.0,6351902.999999999,8859.0,717.0,6603570.0,9210.0,717.0,7443267.0,8957.0,831.0,5189568.0,9664.0,537.0,5344761.0,9953.0,537.0,,0.031225859719166804,0.031118790175751476
2020-2-15,6189085.0,8971.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7149924.0,8604.0,831.0,6105255.0,8515.0,717.0,6414999.0,8947.0,717.0,7228038.0,8698.0,831.0,5041356.0,9388.0,537.0,5194937.999999999,9674.0,537.0,,-0.04485906193145084,-0.044893179075874756
