,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4640546.5,15038.375,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4857300.0,16191.0,300.0,4347840.0,15528.0,280.0,4094439.9999999995,14623.0,280.0,4657800.0,15526.0,300.0,4533120.0,14166.0,320.0,4793376.0,14266.0,336.0,5003376.0,14891.0,336.0,4837120.0,15116.0,320.0,,0.011587636061860529,0.011357140455294346
2020-11-15,4587389.5,14869.5,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4814700.0,16049.0,300.0,4309760.0,15392.0,280.0,4059720.0,14499.0,280.0,4617000.0,15390.0,300.0,4493440.0,14042.0,320.0,4751376.0,14141.0,336.0,4858560.0,14460.0,336.0,4794560.0,14983.0,320.0,,-0.04510203603720808,-0.04510535821794104
2020-10-15,4804062.5,15571.875,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",5042100.0,16807.0,300.0,4513040.0,16118.0,280.0,4252640.0,15188.0,280.0,4834800.0,16116.0,300.0,4705920.0,14706.0,320.0,4975488.0,14808.0,336.0,5087712.0,15142.0,336.0,5020800.0,15690.0,320.0,,0.012135140194378335,0.012130124632358852
2020-9-15,4746463.5,15385.25,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4981800.0,16606.0,300.0,4458720.0,15924.0,280.0,4202800.0,15010.0,280.0,4776900.0,15923.0,300.0,4649280.0,14529.0,320.0,4915680.0,14630.0,336.0,5025888.0,14958.0,336.0,4960640.0,15502.0,320.0,,0.004664587825060629,0.004660805968443649
2020-8-15,4724426.0,15313.875,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4959300.0,16531.0,300.0,4437720.0,15849.0,280.0,4184320.0,14944.0,280.0,4754100.0,15847.0,300.0,4627840.0,14462.0,320.0,4893504.0,14564.0,336.0,5001024.0,14884.0,336.0,4937600.0,15430.0,320.0,,-0.034260722618143946,-0.034266660360402934
2020-7-15,4892030.5,15857.25,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",5136000.0,17120.0,300.0,4595080.0,16411.0,280.0,4334120.0,15479.0,280.0,4922100.0,16407.0,300.0,4792000.0,14975.0,320.0,5068224.0,15084.0,336.0,5176080.0,15405.0,336.0,5112640.0,15977.0,320.0,,0.013484417256308445,0.013744825712413533
2020-6-15,4826942.0,15642.25,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",5046300.0,16821.0,300.0,4513880.0,16121.0,280.0,4258800.0,15210.0,280.0,4868700.0,16229.0,300.0,4707520.0,14711.0,320.0,5135760.0,15285.0,336.0,5062176.0,15066.0,336.0,5022400.0,15695.0,320.0,,-0.010304987399023857,-0.01030520163554538
2020-5-15,4877201.5,15805.125,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",5099400.0,16998.0,300.0,4560360.0,16287.0,280.0,4303880.0,15371.0,280.0,4918500.0,16395.0,300.0,4756160.0,14863.0,320.0,5190192.0,15447.0,336.0,5113920.0,15220.0,336.0,5075200.0,15860.0,320.0,,0.021171847306673763,0.020953442178188952
2020-4-15,4776083.0,15480.75,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",5030100.0,16767.0,300.0,4497640.0,16063.0,280.0,4245640.0,15163.0,280.0,4720500.0,15735.0,300.0,4690880.0,14659.0,320.0,5119968.0,15238.0,336.0,4897536.0,14576.0,336.0,5006400.0,15645.0,320.0,,-0.032833869018497386,-0.03261939354173504
2020-3-15,4938224.0,16002.75,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",5187600.0,17292.0,300.0,4637080.0,16561.0,280.0,4378920.0,15639.0,280.0,4866000.0,16220.0,300.0,4836480.0,15114.0,320.0,5305776.0,15791.0,336.0,5131056.0,15271.0,336.0,5162880.0,16134.0,320.0,,0.02108260034658982,0.02108008518172899
2020-2-15,4836263.0,15672.375,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",5081100.0,16937.0,300.0,4541320.0,16219.0,280.0,4289320.0,15319.0,280.0,4764300.0,15881.0,300.0,4736640.0,14802.0,320.0,5195232.0,15462.0,336.0,5025552.0,14957.0,336.0,5056640.0,15802.0,320.0,,0.00025749645606287785,0.0002552913113198496
