,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9136854.166666666,20706.333333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12489840.0,18810.0,664.0,12235080.0,17732.0,690.0,9113596.0,20074.0,454.0,7429644.0,22931.0,324.0,6079920.0,23030.0,264.0,7473045.0,21661.0,345.0,,0.008860027389932412,0.008851138467534936
2020-11-15,9056612.333333334,20524.666666666668,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12380280.0,18645.0,664.0,12126750.0,17575.0,690.0,9033692.0,19898.0,454.0,7364520.0,22730.0,324.0,6026592.0,22828.0,264.0,7407840.0,21472.0,345.0,,-0.04508788521529028,-0.04508304771948324
2020-10-15,9484236.5,21493.666666666668,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12964600.0,19525.0,664.0,12700140.0,18406.0,690.0,9459998.0,20837.0,454.0,7712172.0,23803.0,324.0,6311184.0,23906.0,264.0,7757325.0,22485.0,345.0,,0.012151149258441407,0.01216525915926292
2020-9-15,9370375.666666666,21235.333333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12808560.0,19290.0,664.0,12549030.0,18187.0,690.0,9346498.0,20587.0,454.0,7619184.0,23516.0,324.0,6235152.0,23618.0,264.0,7663830.0,22214.0,345.0,,0.004671804642734312,0.004683877682978732
2020-8-15,9326802.666666666,21136.333333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12748800.0,19200.0,664.0,12491760.0,18104.0,690.0,9302914.0,20491.0,454.0,7583544.0,23406.0,324.0,6205848.0,23507.0,264.0,7627950.0,22110.0,345.0,,-0.034254906943809615,-0.03424589726992344
2020-7-15,9657623.666666666,21885.833333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13200320.0,19880.0,664.0,12936120.0,18748.0,690.0,9632972.0,21218.0,454.0,7852140.0,24235.0,324.0,6425760.0,24340.0,264.0,7898430.0,22894.0,345.0,,0.017972424816158128,0.017985193224543394
2020-6-15,9487117.166666666,21499.166666666668,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12966592.0,19528.0,664.0,12709110.0,18419.0,690.0,9463176.0,20844.0,454.0,7713144.0,23806.0,324.0,6311976.0,23909.0,264.0,7758705.0,22489.0,345.0,,-0.010199383188050692,-0.010190066220083893
2020-5-15,9584877.0,21720.5,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13100056.0,19729.0,664.0,12840900.0,18610.0,690.0,9560786.0,21059.0,454.0,7792200.0,24050.0,324.0,6376920.0,24155.0,264.0,7838400.0,22720.0,345.0,,0.013940208284080713,0.013950050571850836
2020-4-15,9453098.833333334,21421.666666666668,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12919448.0,19457.0,664.0,12665640.0,18356.0,690.0,9429126.0,20769.0,454.0,7684956.0,23719.0,324.0,6289008.0,23822.0,264.0,7730415.0,22407.0,345.0,,-0.030152705321226714,-0.030137937279285154
2020-3-15,9746997.166666666,22087.333333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13320504.0,20061.0,664.0,13061010.0,18929.0,690.0,9722410.0,21415.0,454.0,7923420.0,24455.0,324.0,6484104.0,24561.0,264.0,7970535.0,23103.0,345.0,,0.021110713230553246,0.021119869320326945
2020-2-15,9545485.166666666,21630.5,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13044944.0,19646.0,664.0,12791910.0,18539.0,690.0,9521288.0,20972.0,454.0,7759152.0,23948.0,324.0,6349992.0,24053.0,264.0,7805625.0,22625.0,345.0,,0.00031193754416514174,0.0003237218766620753
2020-1-15,9542508.5,21623.5,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13040296.0,19639.0,664.0,12789150.0,18535.0,690.0,9518564.0,20966.0,454.0,7756560.0,23940.0,324.0,6347616.0,24044.0,264.0,7802865.0,22617.0,345.0,,-0.021760750827812148,-0.02174552309142319
2019-12-15,9754779.833333334,22104.166666666668,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13329800.0,20075.0,664.0,13075500.0,18950.0,690.0,9730128.0,21432.0,454.0,7928604.0,24471.0,324.0,6488592.0,24578.0,264.0,7976055.0,23119.0,345.0,,-0.0005740041535940987,-0.0005651846269781879
2019-11-15,9760382.333333334,22116.666666666668,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13337104.0,20086.0,664.0,13083780.0,18962.0,690.0,9736030.0,21445.0,454.0,7932816.0,24484.0,324.0,6492024.0,24591.0,264.0,7980540.0,23132.0,345.0,,0.03508019073928326,0.0350933300052263
2019-10-15,9429590.5,21366.833333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",12884256.0,19404.0,664.0,12642180.0,18322.0,690.0,9405972.0,20718.0,454.0,7663572.0,23653.0,324.0,6271848.0,23757.0,264.0,7709715.0,22347.0,345.0,,-0.02481009471904494,-0.02479822913259455
2019-9-15,9669491.5,21910.166666666668,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13211608.0,19897.0,664.0,12965100.0,18790.0,690.0,9645230.0,21245.0,454.0,7858296.0,24254.0,324.0,6431040.0,24360.0,264.0,7905675.0,22915.0,345.0,,0.011826346678795563,0.011837780839420331
2019-8-15,9556473.333333334,21653.833333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13056896.0,19664.0,664.0,12814680.0,18572.0,690.0,9532638.0,20997.0,454.0,7765956.0,23969.0,324.0,6355800.0,24075.0,264.0,7812870.0,22646.0,345.0,,-0.049150873225168756,-0.04913749570028614
2019-7-15,10050462.333333334,22772.833333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13730856.0,20679.0,664.0,13479150.0,19535.0,690.0,10025228.0,22082.0,454.0,8167068.0,25207.0,324.0,6683952.0,25318.0,264.0,8216520.0,23816.0,345.0,,0.017060068936634698,0.01707569430487621
2019-6-15,9881876.833333334,22390.5,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13500448.0,20332.0,664.0,13254210.0,19209.0,690.0,9857248.0,21712.0,454.0,8029692.0,24783.0,324.0,6571488.0,24892.0,264.0,8078175.0,23415.0,345.0,,-0.008000226871830551,-0.00798966217463537
2019-5-15,9961571.666666666,22570.833333333332,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",13608680.0,20495.0,664.0,13362540.0,19366.0,690.0,9936698.0,21887.0,454.0,8093844.0,24981.0,324.0,6624288.0,25092.0,264.0,8143380.000000001,23604.0,345.0,,,
2019-4-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2019-3-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2019-2-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2019-1-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-12-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-11-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-10-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-9-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-8-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-7-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-6-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-5-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-4-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-3-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-2-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2018-1-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-12-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-11-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-10-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-9-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-8-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-7-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-6-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-5-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-4-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-3-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-2-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2017-1-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2016-12-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2016-11-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2016-10-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2016-9-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2016-8-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2016-7-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
2016-6-15,,,"THE PAVILIA FARM II(Block 7A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7A座(柏傲莊 II),車公廟路",,,664.0,,,690.0,,,454.0,,,324.0,,,264.0,,,345.0,,,
