,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8996003.4,19621.2,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",10896405.0,16435.0,663.0,11115858.0,16766.0,663.0,8682408.0,20972.0,414.0,7311148.0,24452.0,299.0,6974198.0,19481.0,358.0,,0.008842598477007302,0.008843551405713246
2020-11-15,8917152.6,19449.2,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",10800933.000000002,16291.0,663.0,11018397.0,16619.0,663.0,8606232.0,20788.0,414.0,7246863.0,24237.0,299.0,6913338.0,19311.0,358.0,,-0.04508985618144934,-0.04508184648015945
2020-10-15,9338211.2,20367.4,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11311443.0,17061.0,663.0,11538852.0,17404.0,663.0,9012366.0,21769.0,414.0,7588919.0,25381.0,299.0,7239476.0,20222.0,358.0,,0.01214867431899358,0.012145306365850095
2020-9-15,9226126.0,20123.0,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11175528.0,16856.0,663.0,11400285.0,17195.0,663.0,8904312.0,21508.0,414.0,7498023.0,25077.0,299.0,7152482.0,19979.0,358.0,,0.004693617061498845,0.004693194867442241
2020-8-15,9183024.4,20029.0,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11123151.0,16777.0,663.0,11347245.0,17115.0,663.0,8862498.0,21407.0,414.0,7463040.0,24960.0,299.0,7119188.0,19886.0,358.0,,-0.03424680253248569,-0.03425364282476839
2020-7-15,9508665.8,20739.4,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11516973.0,17371.0,663.0,11749686.0,17722.0,663.0,9177138.0,22167.0,414.0,7727954.0,25846.0,299.0,7371578.0,20591.0,358.0,,0.01797815388563695,0.017974594074568584
2020-6-15,9340736.6,20373.2,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11313432.0,17064.0,663.0,11542167.0,17409.0,663.0,9014850.0,21775.0,414.0,7591610.0,25390.0,299.0,7241624.0,20228.0,358.0,,-0.010185678974019563,-0.010183259809161016
2020-5-15,9436857.4,20582.8,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11429457.0,17239.0,663.0,11661507.0,17589.0,663.0,9107586.0,21999.0,414.0,7669649.0,25651.0,299.0,7316088.0,20436.0,358.0,,0.01393444398420196,0.013931034482758564
2020-4-15,9307167.2,20300.0,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11272326.0,17002.0,663.0,11501061.0,17347.0,663.0,8982558.0,21697.0,414.0,7564401.0,25299.0,299.0,7215490.0,20155.0,358.0,,-0.030133938108171998,-0.03013740516368224
2020-3-15,9596342.8,20930.8,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11622390.0,17530.0,663.0,11858418.0,17886.0,663.0,9261594.0,22371.0,414.0,7799714.0,26086.0,299.0,7439598.0,20781.0,358.0,,0.021113154470407958,0.021114255049273112
2020-2-15,9397923.0,20498.0,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11381721.0,17167.0,663.0,11613771.0,17517.0,663.0,9069912.0,21908.0,414.0,7638553.0,25547.0,299.0,7285658.0,20351.0,358.0,,0.0003047772043938135,0.00030256004840967243
