,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10657305.6,18946.0,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",11930380.0,17780.0,671.0,10876476.0,17628.0,617.0,7189050.0,21785.0,330.0,13459122.0,17874.0,753.0,9831500.0,19663.0,500.0,,0.008857795759382059,0.008860678608703099
2020-11-15,10563734.2,18779.6,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",11826375.0,17625.0,671.0,10781458.0,17474.0,617.0,7125690.0,21593.0,330.0,13340148.0,17716.0,753.0,9745000.0,19490.0,500.0,,-0.04511918159773631,-0.04512126913103176
2020-10-15,11062882.4,19667.0,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12384647.0,18457.0,671.0,11290483.0,18299.0,617.0,7462620.0,22614.0,330.0,13971162.0,18554.0,753.0,10205500.0,20411.0,500.0,,0.012136156605065063,0.012124705373776301
2020-9-15,10930231.4,19431.4,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12235685.0,18235.0,671.0,11154126.0,18078.0,617.0,7373850.0,22345.0,330.0,13803996.0,18332.0,753.0,10083500.0,20167.0,500.0,,0.004661290718115163,0.004653230893316929
2020-8-15,10879518.8,19341.4,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12177979.0,18149.0,671.0,11101681.0,17993.0,617.0,7340190.0,22243.0,330.0,13740744.0,18248.0,753.0,10037000.0,20074.0,500.0,,-0.03427459567736024,-0.03428200519273006
2020-7-15,11265644.2,20028.0,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12610103.0,18793.0,671.0,11494710.0,18630.0,617.0,7601220.0,23034.0,330.0,14228688.0,18896.0,753.0,10393500.0,20787.0,500.0,,0.017951959101652593,0.01794155019059729
2020-6-15,11066970.4,19675.0,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12386660.0,18460.0,671.0,11291100.0,18300.0,617.0,7467900.0,22630.0,330.0,13978692.0,18564.0,753.0,10210500.0,20421.0,500.0,,-0.01021351129873771,-0.010222253523961
2020-5-15,11181169.4,19878.2,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12514150.0,18650.0,671.0,11406479.0,18487.0,617.0,7545450.0,22865.0,330.0,14123268.0,18756.0,753.0,10316500.0,20633.0,500.0,,0.01389818349485461,0.01389384773893454
2020-4-15,11027901.6,19605.8,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12342374.0,18394.0,671.0,11249144.0,18232.0,617.0,7442490.0,22553.0,330.0,13930500.0,18500.0,753.0,10175000.0,20350.0,500.0,,-0.030166096179149338,-0.03017441802946208
2020-3-15,11370917.8,20215.8,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12725515.0,18965.0,671.0,11598366.0,18798.0,617.0,7674480.0,23256.0,330.0,14364228.0,19076.0,753.0,10492000.0,20984.0,500.0,,0.02109375296055127,0.02108251171811859
2020-2-15,11136017.4,19798.4,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12461812.0,18572.0,671.0,11357736.0,18408.0,617.0,7516740.0,22778.0,330.0,14068299.0,18683.0,753.0,10275500.0,20551.0,500.0,,0.00029211070952772644,0.0002829311668890444
2020-1-15,11132765.4,19792.8,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12457786.0,18566.0,671.0,11353417.0,18401.0,617.0,7515090.0,22773.0,330.0,14064534.0,18678.0,753.0,10273000.0,20546.0,500.0,,-0.021798837113711333,-0.021804882870416153
2019-12-15,11380854.8,20234.0,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12734909.0,18979.0,671.0,11605770.0,18810.0,617.0,7683060.0,23282.0,330.0,14378535.0,19095.0,753.0,10502000.0,21004.0,500.0,,-0.0005809718621797577,-0.0005927096710461877
2019-11-15,11387470.6,20246.0,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12741619.0,18989.0,671.0,11611323.0,18819.0,617.0,7688340.0,23298.0,330.0,14387571.0,19107.0,753.0,10508500.0,21017.0,500.0,,0.03504924383901642,0.035039824954244736
2019-10-15,11001863.6,19560.6,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12309495.0,18345.0,671.0,11217060.0,18180.0,617.0,7428630.0,22511.0,330.0,13901133.0,18461.0,753.0,10153000.0,20306.0,500.0,,-0.024827860749293995,-0.024836979280914107
2019-9-15,11281970.8,20058.8,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12622181.0,18811.0,671.0,11501497.0,18641.0,617.0,7618380.0,23086.0,330.0,14255796.0,18932.0,753.0,10412000.0,20824.0,500.0,,0.011793459937404327,0.011782983273812997
2019-8-15,11150468.2,19825.2,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12474561.0,18591.0,671.0,11366374.0,18422.0,617.0,7530270.0,22819.0,330.0,14090136.0,18712.0,753.0,10291000.0,20582.0,500.0,,-0.049181515241210616,-0.049187561148732795
2019-7-15,11727231.2,20850.8,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",13119392.0,19552.0,671.0,11953141.0,19373.0,617.0,7920330.0,24001.0,330.0,14819793.0,19681.0,753.0,10823500.0,21647.0,500.0,,0.017043851513102837,0.01703281695087222
2019-6-15,11530703.6,20501.6,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",12898633.0,19223.0,671.0,11751999.0,19047.0,617.0,7788330.0,23601.0,330.0,14572056.0,19352.0,753.0,10642500.0,21285.0,500.0,,-0.008039858225629026,-0.008051093477840165
2019-5-15,11624160.2,20668.0,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",13002638.0,19378.0,671.0,11845783.0,19199.0,617.0,7852350.0,23795.0,330.0,14691030.0,19510.0,753.0,10729000.0,21458.0,500.0,,,
2019-4-15,,,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",,,671.0,,,617.0,,,330.0,,,753.0,,,500.0,,,
2019-3-15,,,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",,,671.0,,,617.0,,,330.0,,,753.0,,,500.0,,,
2019-2-15,,,"THE PAVILIA FARM II(Block 7B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,7B座(柏傲莊 II),車公廟路",,,671.0,,,617.0,,,330.0,,,753.0,,,500.0,,,
