,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10531711.6,19474.2,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12095520.0,18080.0,669.0,11741296.0,18578.0,632.0,9698605.000000002,19915.0,487.0,9584201.000000002,21251.0,451.0,9538936.0,19547.0,488.0,,0.008837184450278146,0.008837729749891388
2020-11-15,10439456.2,19303.6,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",11989818.0,17922.0,669.0,11638280.0,18415.0,632.0,9613380.0,19740.0,487.0,9500315.0,21065.0,451.0,9455488.0,19376.0,488.0,,-0.04506634353833716,-0.04506643712959946
2020-10-15,10932127.2,20214.6,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12555123.0,18767.0,669.0,12188120.0,19285.0,632.0,10067264.0,20672.0,487.0,9948609.0,22059.0,451.0,9901520.0,20290.0,488.0,,0.012154677063086261,0.012157141569613117
2020-9-15,10800846.4,19971.8,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12403929.0,18541.0,669.0,12042760.0,19055.0,632.0,9946001.0,20423.0,487.0,9829094.0,21794.0,451.0,9782448.0,20046.0,488.0,,0.004696495020714453,0.004698567289117772
2020-8-15,10750357.4,19878.4,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12345726.0,18454.0,669.0,11987144.0,18967.0,632.0,9899249.0,20327.0,487.0,9783092.0,21692.0,451.0,9736576.0,19952.0,488.0,,-0.034249113223115635,-0.03425090121165597
2020-7-15,11131605.0,20583.4,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12782583.0,19107.0,669.0,12413112.0,19641.0,632.0,10250376.0,21048.0,487.0,10130362.0,22462.0,451.0,10081592.0,20659.0,488.0,,0.01799037180317553,0.017992442976122236
2020-6-15,10934882.4,20219.6,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12556461.0,18769.0,669.0,12194440.0,19295.0,632.0,10069212.0,20676.0,487.0,9951315.0,22065.0,451.0,9902984.0,20293.0,488.0,,-0.010182708930681073,-0.010182302375217889
2020-5-15,11047374.6,20427.6,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12684909.0,18961.0,669.0,12320840.0,19495.0,632.0,10172456.0,20888.0,487.0,10053692.0,22292.0,451.0,10004976.0,20502.0,488.0,,0.013954038297802285,0.013957828693960117
2020-4-15,10895340.6,20146.4,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12510300.0,18700.0,669.0,12152096.0,19228.0,632.0,10032200.0,20600.0,487.0,9915235.0,21985.0,451.0,9866872.0,20219.0,488.0,,-0.030144533411201935,-0.030145480103597855
2020-3-15,11233983.8,20772.6,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12898320.0,19280.0,669.0,12530664.0,19827.0,632.0,10343880.0,21240.0,487.0,10223719.0,22669.0,451.0,10173336.0,20847.0,488.0,,0.02113728133414372,0.021137907642091003
2020-2-15,11001443.2,20342.6,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12630720.0,18880.0,669.0,12272176.0,19418.0,632.0,10129600.0,20800.0,487.0,10012200.0,22200.0,451.0,9962520.0,20415.0,488.0,,0.00032415343534175634,0.0003245476003146397
2020-1-15,10997878.2,20336.0,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12626037.0,18873.0,669.0,12269016.0,19413.0,632.0,10126191.0,20793.0,487.0,10009043.0,22193.0,451.0,9959104.0,20408.0,488.0,,-0.0217457703111551,-0.021743313450067303
2019-12-15,11242351.8,20788.0,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12906348.0,19292.0,669.0,12542672.0,19846.0,632.0,10351185.0,21255.0,487.0,10231386.0,22686.0,451.0,10180168.0,20861.0,488.0,,-0.0005772859038974953,-0.0005769230769230305
2019-11-15,11248845.6,20800.0,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12913038.0,19302.0,669.0,12550888.0,19859.0,632.0,10357029.0,21267.0,487.0,10237249.0,22699.0,451.0,10186024.0,20873.0,488.0,,0.03512315199132843,0.035124563306824896
2019-10-15,10867156.8,20094.2,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12474174.0,18646.0,669.0,12126184.0,19187.0,632.0,10005415.0,20545.0,487.0,9889979.0,21929.0,451.0,9840032.0,20164.0,488.0,,-0.024789796190918145,-0.024790099490414885
2019-9-15,11143399.4,20605.0,"THE PAVILIA FARM II(Block 6A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6A座(柏傲莊 II),車公廟路",12790611.0,19119.0,669.0,12435232.0,19676.0,632.0,10259629.0,21067.0,487.0,10141637.0,22487.0,451.0,10089888.0,20676.0,488.0,,0.011821258932931844,0.0118246727099518
