,lumpSum_avg,npsf_avg,final_address,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9890097.0,16998.0,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",12908235.0,17097.0,755.0,8558740.0,16948.0,505.0,8203316.0,16949.0,484.0,,0.008861402096180582,0.008863213706326922
2020-11-15,9803226.666666666,16848.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",12794985.0,16947.0,755.0,8483495.0,16799.0,505.0,8131200.0,16800.0,484.0,,-0.04507691857612506,-0.045076702183934
2020-10-15,10265985.666666666,17644.0,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13398985.0,17747.0,755.0,8883960.0,17592.0,505.0,8515012.0,17593.0,484.0,,0.012143038575428422,0.012142187888406708
2020-9-15,10142821.0,17432.333333333332,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13238170.0,17534.0,755.0,8777405.0,17381.0,505.0,8412888.0,17382.0,484.0,,0.004656386693451475,0.004648929017385228
2020-8-15,10095811.0,17351.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13176260.0,17452.0,755.0,8737005.0,17301.0,505.0,8374168.0,17302.0,484.0,,-0.034264083210955976,-0.03426588994842483
2020-7-15,10454008.0,17967.333333333332,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13643605.0,18071.0,755.0,9047075.0,17915.0,505.0,8671344.0,17916.0,484.0,,0.01796147868188336,0.017960000755415484
2020-6-15,10269551.666666666,17650.333333333332,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13402760.0,17752.0,755.0,8887495.0,17599.0,505.0,8518400.0,17600.0,484.0,,-0.010221507383119,-0.010224681296497229
2020-5-15,10375606.0,17832.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13540925.0,17935.0,755.0,8979405.0,17781.0,505.0,8606488.0,17782.0,484.0,,0.013935332196467476,0.013930216250023664
2020-4-15,10233005.666666666,17587.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13354440.0,17688.0,755.0,8856185.0,17537.0,505.0,8488392.0,17538.0,484.0,,-0.030177422243406804,-0.030181049535888183
2020-3-15,10551420.333333334,18135.0,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13769690.0,18238.0,755.0,9131915.0,18083.0,505.0,8752656.0,18084.0,484.0,,0.021081181671566585,0.021076536166059867
2020-2-15,10333576.333333334,17760.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13485055.0,17861.0,755.0,8943550.0,17710.0,505.0,8572124.0,17711.0,484.0,,0.0003057314169991887,0.00030037922877657053
2020-1-15,10330418.0,17755.333333333332,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13480525.0,17855.0,755.0,8941025.0,17705.0,505.0,8569704.0,17706.0,484.0,,-0.021760945283486155,-0.021762685717434005
2019-12-15,10560218.333333334,18150.333333333332,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13780260.0,18252.0,755.0,9139995.0,18099.0,505.0,8760400.0,18100.0,484.0,,-0.0005813732661801296,-0.0005873391700164099
2019-11-15,10566361.333333334,18161.0,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13787810.0,18262.0,755.0,9145550.0,18110.0,505.0,8765724.0,18111.0,484.0,,0.035055840100737035,0.03505072381169505
2019-10-15,10208494.0,17546.0,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13320465.0,17643.0,755.0,8835985.0,17497.0,505.0,8469032.0,17498.0,484.0,,-0.024808481768679447,-0.024806862182040423
2019-9-15,10468194.0,17992.333333333332,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13659460.0,18092.0,755.0,9060710.0,17942.0,505.0,8684412.0,17943.0,484.0,,0.011775509719504917,0.011771542109505262
2019-8-15,10346360.333333334,17783.0,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13500155.0,17881.0,755.0,8955670.0,17734.0,505.0,8583256.0,17734.0,484.0,,-0.04916714194400462,-0.04917302345476582
2019-7-15,10881366.0,18702.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",14197775.0,18805.0,755.0,9418755.0,18651.0,505.0,9027568.0,18652.0,484.0,,0.017078067860314405,0.017075735054200125
2019-6-15,10698653.666666666,18388.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",13959195.0,18489.0,755.0,9260690.0,18338.0,505.0,8876076.0,18339.0,484.0,,-0.008031198841308873,-0.008037689029543493
2019-5-15,10785272.333333334,18537.666666666668,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",14071690.0,18638.0,755.0,9335935.0,18487.0,505.0,8948192.0,18488.0,484.0,,,
2019-4-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2019-3-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2019-2-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2019-1-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-12-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-11-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-10-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-9-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-8-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-7-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-6-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-5-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-4-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-3-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-2-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2018-1-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-12-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-11-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-10-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-9-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-8-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-7-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-6-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-5-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-4-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-3-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-2-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2017-1-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-12-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-11-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-10-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-9-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-8-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-7-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-6-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-5-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-4-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-3-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-2-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,,,
2016-1-15,,,"EL FUTURO(Block 1),LAI PING RD|名日•九肚山1座,麗坪路",,,755.0,,,505.0,,,484.0,581.3333333333334,,
