,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_F.P.,npsf_F.P.,nfa_F.P.,lumpSum_change,npsf_change
2019-12-15,3483900.0,9954.0,1,3483900,9954,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3483900.0,9954.0,350.0,0.03139571028908916,0.03139571028908916
2019-11-15,3377850.0,9651.0,1,3377850,9651,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3377850.0,9651.0,350.0,-0.006485484867202018,-0.006485484867202018
2019-10-15,3399900.0,9714.0,1,3399900,9714,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3399900.0,9714.0,350.0,-0.07985223074737147,-0.07985223074737147
2019-9-15,3694950.0,10557.0,1,3694950,10557,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3694950.0,10557.0,350.0,0.07548899755501215,0.07548899755501215
2019-8-15,3435600.0,9816.0,1,3435600,9816,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3435600.0,9816.0,350.0,0.06974716652136004,0.06974716652136004
2019-7-15,3211600.0,9176.0,1,3211600,9176,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3211600.0,9176.0,350.0,-0.04177109440267335,-0.04177109440267335
2019-6-15,3351600.0,9576.0,1,3351600,9576,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3351600.0,9576.0,350.0,-0.09489603024574667,-0.09489603024574667
2019-5-15,3703000.0,10580.0,1,3703000,10580,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3703000.0,10580.0,350.0,0.03431420471209301,0.03431420471209301
2019-4-15,3580150.0,10229.0,1,3580150,10229,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3580150.0,10229.0,350.0,0.055842279108174964,0.055842279108174964
2019-3-15,3390800.0,9688.0,1,3390800,9688,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3390800.0,9688.0,350.0,0.022372308991135403,0.022372308991135403
2019-2-15,3316600.0,9476.0,1,3316600,9476,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3316600.0,9476.0,350.0,-0.02228642179116802,-0.02228642179116802
2019-1-15,3392200.0,9692.0,1,3392200,9692,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3392200.0,9692.0,350.0,0.031612559872272517,0.031612559872272517
2018-12-15,3288250.0,9395.0,1,3288250,9395,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",3288250.0,9395.0,350.0,,
2018-11-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-10-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-9-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-8-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-7-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-6-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-5-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-4-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-3-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-2-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-1-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-12-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-11-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-10-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-9-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-8-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-7-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-6-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-5-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-4-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-3-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-2-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-1-15,,,1,,,350,"MEI KING MANS(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
