,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7986110.000000001,10109.0,105A PAK TAI ST|105A 北帝街,7986110.000000001,10109.0,790.0,,0.017718715393134188,0.017718715393133966
2020-11-15,7847070.0,9933.0,105A PAK TAI ST|105A 北帝街,7847070.0,9933.0,790.0,,0.10550918196994985,0.10550918196994985
2020-10-15,7098150.0,8985.0,105A PAK TAI ST|105A 北帝街,7098150.0,8985.0,790.0,,-0.042110874200426474,-0.042110874200426474
2020-9-15,7410200.0,9380.0,105A PAK TAI ST|105A 北帝街,7410200.0,9380.0,790.0,,-0.003505789865080211,-0.003505789865080211
2020-8-15,7436270.0,9413.0,105A PAK TAI ST|105A 北帝街,7436270.0,9413.0,790.0,,-0.025871882438166183,-0.025871882438166183
2020-7-15,7633770.0,9663.0,105A PAK TAI ST|105A 北帝街,7633770.0,9663.0,790.0,,0.003531000103852877,0.003531000103852877
2020-6-15,7606910.0,9629.0,105A PAK TAI ST|105A 北帝街,7606910.0,9629.0,790.0,,0.019373279695108936,0.019373279695108936
2020-5-15,7462340.0,9446.0,105A PAK TAI ST|105A 北帝街,7462340.0,9446.0,790.0,,0.05707251566696514,0.05707251566696514
2020-4-15,7059440.0,8936.0,105A PAK TAI ST|105A 北帝街,7059440.0,8936.0,790.0,,-0.018345600351532432,-0.018345600351532432
2020-3-15,7191370.0,9103.0,105A PAK TAI ST|105A 北帝街,7191370.0,9103.0,790.0,,-0.07696207665787869,-0.07696207665787869
2020-2-15,7790980.0,9862.0,105A PAK TAI ST|105A 北帝街,7790980.0,9862.0,790.0,,0.0021339294787114937,0.0021339294787114937
2020-1-15,7774390.0,9841.0,105A PAK TAI ST|105A 北帝街,7774390.0,9841.0,790.0,,0.026173096976016774,0.026173096976016774
2019-12-15,7576100.0,9590.0,105A PAK TAI ST|105A 北帝街,7576100.0,9590.0,790.0,,0.02391629297458886,0.02391629297458886
2019-11-15,7399140.0,9366.0,105A PAK TAI ST|105A 北帝街,7399140.0,9366.0,790.0,,-0.007207971168115335,-0.007207971168115335
2019-10-15,7452860.0,9434.0,105A PAK TAI ST|105A 北帝街,7452860.0,9434.0,790.0,,-0.03715043886507452,-0.03715043886507452
2019-9-15,7740420.0,9798.0,105A PAK TAI ST|105A 北帝街,7740420.0,9798.0,790.0,,0.032128937111555844,0.032128937111555844
2019-8-15,7499470.0,9493.0,105A PAK TAI ST|105A 北帝街,7499470.0,9493.0,790.0,,0.06710881294964022,0.06710881294964022
2019-7-15,7027840.0,8896.0,105A PAK TAI ST|105A 北帝街,7027840.0,8896.0,790.0,,-0.06001690617075228,-0.06001690617075228
2019-6-15,7476560.0,9464.0,105A PAK TAI ST|105A 北帝街,7476560.0,9464.0,790.0,,-0.07523939808481528,-0.07523939808481528
2019-5-15,8084860.0,10234.0,105A PAK TAI ST|105A 北帝街,8084860.0,10234.0,790.0,,0.03165322580645169,0.03165322580645169
2019-4-15,7836800.0,9920.0,105A PAK TAI ST|105A 北帝街,7836800.0,9920.0,790.0,,0.05296677635070579,0.05296677635070579
2019-3-15,7442590.0,9421.0,105A PAK TAI ST|105A 北帝街,7442590.0,9421.0,790.0,,,
2019-2-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2019-1-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-12-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-11-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-10-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-9-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-8-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-7-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-6-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-5-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-4-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-3-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-2-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2018-1-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-12-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-11-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-10-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-9-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-8-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-7-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-6-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-5-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-4-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-3-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-2-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2017-1-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-12-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-11-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-10-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-9-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-8-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-7-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-6-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-5-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-4-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-3-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-2-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,,,
2016-1-15,,,105A PAK TAI ST|105A 北帝街,,,790.0,790.0,,
