,lumpSum_avg,npsf_avg,final_address,lumpSum_14,npsf_14,nfa_14,lumpSum_6,npsf_6,nfa_6,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2865868.0,7097.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2717760.0,7152.0,380.0,3013976.0,7042.0,428.0,,-0.018595492728163077,-0.018599184125008605
2022-11-15,2920170.0,7231.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2769440.0,7288.0,380.0,3070900.0,7175.0,428.0,,-0.027632930157474367,-0.027632109721661968
2022-10-15,3003156.0,7437.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2848100.0,7495.0,380.0,3158212.0,7379.0,428.0,,-0.00040341263120891035,-0.00040322580645157924
2022-9-15,3004368.0,7440.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2849240.0,7498.0,380.0,3159496.0,7382.0,428.0,,0.004321664482657139,0.004319654427645814
2022-8-15,2991440.0,7408.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2837080.0,7466.0,380.0,3145800.0,7350.0,428.0,,-0.007701702813387112,-0.007702096309691209
2022-7-15,3014658.0,7465.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2859120.0,7524.0,380.0,3170196.0,7407.0,428.0,,-0.08578244066464336,-0.0857825128581925
2022-6-15,3297528.0,8166.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3127400.0,8230.0,380.0,3467656.0,8102.0,428.0,,0.02581580828621921,0.025814961371773082
2022-5-15,3214542.0,7960.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3048740.0,8023.0,380.0,3380344.0,7898.0,428.0,,-0.007360474904412051,-0.007357067148824781
2022-4-15,3238378.0,8019.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3071160.0,8082.0,380.0,3405596.0,7957.0,428.0,,0.07536363171467597,0.07536037546094532
2022-3-15,3011426.0,7457.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2856080.0,7516.0,380.0,3166772.0,7399.0,428.0,,0.001208860990960181,0.0012082969725448756
2022-2-15,3007790.0,7448.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2852660.0,7507.0,380.0,3162920.0,7390.0,428.0,,-0.0446984047128115,-0.0446966782095678
2022-1-15,3148524.0,7797.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2986040.0,7858.0,380.0,3311008.0,7736.0,428.0,,-0.04378075002733339,-0.043782192788815344
2021-12-15,3292680.0,8154.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3122840.0,8218.0,380.0,3462520.0,8090.0,428.0,,0.034641387917934585,0.03464027407689385
2021-11-15,3182436.0,7881.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3018340.0,7943.0,380.0,3346532.0,7819.0,428.0,,-0.05122390850543812,-0.05122494432071267
2021-10-15,3354254.0,8306.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3181360.0,8372.0,380.0,3527148.0,8241.0,428.0,,0.019642282828688185,0.01964033634075979
2021-9-15,3289638.0,8146.5,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3120180.0,8211.0,380.0,3459096.0,8082.0,428.0,,0.022915200015920734,0.022915620291311
2021-8-15,3215944.0,7964.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3050260.0,8027.0,380.0,3381628.0,7901.0,428.0,,0.035497311395176645,0.03549603432583548
2021-7-15,3105700.0,7691.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",2945760.0,7752.0,380.0,3265640.0,7630.0,428.0,,-0.039709052590438665,-0.03970533150206024
2021-6-15,3234124.0,8009.0,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",3067360.0,8072.0,380.0,3400888.0,7946.0,428.0,,,
2021-5-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2021-4-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2021-3-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2021-2-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2021-1-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-12-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-11-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-10-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-9-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
2020-8-15,,,"KWUN SHAN COURT,KO SHAN RD|冠山苑,高山道",,,380.0,,,428.0,,,
