,lumpSum_avg,npsf_avg,final_address,lumpSum_F.P.,npsf_F.P.,nfa_F.P.,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4821950.0,13777.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",4821950.0,13777.0,350.0,,0.017804373522458672,0.017804373522458672
2020-11-15,4737600.0,13536.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",4737600.0,13536.0,350.0,,0.10552107154524659,0.10552107154524659
2020-10-15,4285400.0,12244.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",4285400.0,12244.0,350.0,,-0.042165375889853696,-0.042165375889853696
2020-9-15,4474050.0,12783.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",4474050.0,12783.0,350.0,,-0.0035079513564079123,-0.0035079513564079123
2020-8-15,4489800.0,12828.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",4489800.0,12828.0,350.0,,0.2804951088041525,0.2804951088041525
2020-7-15,3506300.0,10018.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3506300.0,10018.0,350.0,,0.0036064916850331308,0.0036064916850331308
2020-6-15,3493700.0,9982.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3493700.0,9982.0,350.0,,0.019299499642601914,0.019299499642601914
2020-5-15,3427550.0,9793.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3427550.0,9793.0,350.0,,0.05698866702644367,0.05698866702644367
2020-4-15,3242750.0,9265.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3242750.0,9265.0,350.0,,-0.018226131185758,-0.01822613118575822
2020-3-15,3302949.9999999995,9437.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3302949.9999999995,9437.0,350.0,,-0.07697574334898294,-0.07697574334898283
2020-2-15,3578400.0,10224.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3578400.0,10224.0,350.0,,0.0020582181711261693,0.0020582181711261693
2020-1-15,3571050.0,10203.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3571050.0,10203.0,350.0,,0.026252263126131492,0.026252263126131492
2019-12-15,3479700.0,9942.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3479700.0,9942.0,350.0,,0.023892893923789904,0.023892893923789904
2019-11-15,3398500.0,9710.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3398500.0,9710.0,350.0,,-0.007258971475309295,-0.007258971475309295
2019-10-15,3423350.0,9781.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3423350.0,9781.0,350.0,,-0.03711360504036232,-0.03711360504036232
2019-9-15,3555300.0,10158.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3555300.0,10158.0,350.0,,0.03200243828101179,0.03200243828101179
2019-8-15,3445050.0,9843.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3445050.0,9843.0,350.0,,0.06722324623224551,0.06722324623224551
2019-7-15,3228050.0,9223.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3228050.0,9223.0,350.0,,-0.060028536485935535,-0.060028536485935535
2019-6-15,3434200.0,9812.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3434200.0,9812.0,350.0,,-0.07521206409048065,-0.07521206409048065
2019-5-15,3713500.0,10610.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3713500.0,10610.0,350.0,,0.03169972773239982,0.03169972773239982
2019-4-15,3599400.0,10284.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3599400.0,10284.0,350.0,,0.05282555282555279,0.05282555282555279
2019-3-15,3418800.0,9768.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3418800.0,9768.0,350.0,,0.030379746835442978,0.030379746835442978
2019-2-15,3318000.0,9480.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3318000.0,9480.0,350.0,,-0.016597510373444035,-0.016597510373444035
2019-1-15,3374000.0,9640.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3374000.0,9640.0,350.0,,0.038681176597349376,0.038681176597349376
2018-12-15,3248350.0,9281.0,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3248350.0,9281.0,350.0,,,
2018-11-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-10-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-9-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-8-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-7-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-6-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-5-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-4-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-3-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-2-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2018-1-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-12-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-11-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-10-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-9-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-8-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-7-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-6-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-5-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-4-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-3-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-2-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2017-1-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-12-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-11-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-10-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-9-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-8-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-7-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-6-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-5-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-4-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-3-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-2-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,,
2016-1-15,,,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,350.0,,
