,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7386857.25,23668.5,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7241778.0,20457.0,354.0,5343957.0,25089.0,213.0,7028091.0,25011.0,281.0,9953802.0,24043.0,414.0,9612666.0,23219.0,414.0,7344216.0,26136.0,281.0,5285382.0,24814.0,213.0,7284966.0,20579.0,354.0,,-0.018385527929793644,-0.01838824230799141
2022-11-15,7525212.25,24111.875,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7377714.0,20841.0,354.0,5445132.0,25564.0,213.0,7160161.0,25481.0,281.0,10140930.0,24495.0,414.0,9792342.0,23653.0,414.0,7478815.0,26615.0,281.0,5384640.0,25280.0,213.0,7421964.0,20966.0,354.0,,-0.027545593337305108,-0.027550917523694318
2022-10-15,7738370.25,24795.0,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7587282.0,21433.0,354.0,5600622.0,26294.0,213.0,7363043.0,26203.0,281.0,10429074.0,25191.0,414.0,10068894.0,24321.0,414.0,7687879.0,27359.0,281.0,5537574.0,25998.0,213.0,7632594.0,21561.0,354.0,,0.01462964184290838,0.010931885941441788
2022-9-15,7626793.0,24526.875,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7589760.0,21440.0,354.0,5602752.0,26304.0,213.0,7364167.0,26207.0,281.0,10036188.0,24242.0,414.0,9559674.0,23091.0,414.0,7687879.0,27359.0,281.0,5538852.0,26004.0,213.0,7635072.0,21568.0,354.0,,0.013463790716239599,0.011798253982168605
2022-8-15,7525471.625,24240.875,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7556484.0,21346.0,354.0,5576766.0,26182.0,213.0,7330728.0,26088.0,281.0,9985680.0,24120.0,414.0,9079434.0,21931.0,414.0,7560586.0,26906.0,281.0,5512653.0,25881.0,213.0,7601442.0,21473.0,354.0,,-0.004625259523151182,-0.004333293970868346
2022-7-15,7560440.625,24346.375,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7614186.0,21509.0,354.0,5618301.0,26377.0,213.0,7218890.0,25690.0,281.0,10055646.0,24289.0,414.0,9148572.0,22098.0,414.0,7615381.0,27101.0,281.0,5552697.0,26069.0,213.0,7659852.0,21638.0,354.0,,-0.07887025940139503,-0.07650327634111875
2022-6-15,8207791.25,26363.25,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8328204.000000001,23526.0,354.0,5953563.0,27951.0,213.0,7895818.999999999,28099.0,281.0,10991700.0,26550.0,414.0,10005966.0,24169.0,414.0,8181596.000000001,29116.0,281.0,5927364.0,27828.0,213.0,8378118.000000001,23667.0,354.0,,0.025954653569704167,0.02595210413920257
2022-5-15,8000150.125,25696.375,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8117219.999999999,22930.0,354.0,5802972.0,27244.0,213.0,7696309.0,27389.0,281.0,10713078.0,25877.0,414.0,9753426.0,23559.0,414.0,7974499.0,28379.0,281.0,5777625.0,27125.0,213.0,8166072.0,23068.0,354.0,,-0.007257324651506525,-0.007253480656580047
2022-4-15,8058634.25,25884.125,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",8176338.000000001,23097.0,354.0,5845359.0,27443.0,213.0,7752509.000000001,27589.0,281.0,10791324.0,26066.0,414.0,9825462.0,23733.0,414.0,8032384.999999999,28585.0,281.0,5819799.0,27323.0,213.0,8225898.0,23237.0,354.0,,0.07548128687396516,0.07548041965305918
2022-3-15,7493049.25,24067.5,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7602504.0,21476.0,354.0,5435121.0,25517.0,213.0,7208493.0,25653.0,281.0,10033704.0,24236.0,414.0,9136152.0,22068.0,414.0,7468418.0,26578.0,281.0,5411478.0,25406.0,213.0,7648524.0,21606.0,354.0,,0.0012614066992240325,0.0012636702600663519
2022-2-15,7483609.375,24037.125,"ALLEGRO,CARPENTER RD|瓏碧,賈炳達道",7592946.0,21449.0,354.0,5428092.0,25484.0,213.0,7199501.0,25621.0,281.0,10020870.0,24205.0,414.0,9124974.0,22041.0,414.0,7458864.0,26544.0,281.0,5404662.0,25374.0,213.0,7638966.0,21579.0,354.0,,-0.0445810802689216,-0.04457715793291561
