,A1,A2,A3,A4,A5,A6,A7,B1,B3,B4,B6,B7
2.0,630,445,445,445,585,390,715,495,334,334,321,520
4.0,630,445,445,445,585,390,715,495,334,334,321,520
7.0,630,445,445,445,585,390,715,495,334,334,321,520
