,A,A10,A3,A4,A6,B,B3,B6,B7,C,C11,C2,C4,C8,D,D10,D11,D6,D8,E,E11,E3,E7,E8
3.0,8747,8747,8747,8747,8603,8807,8807,8808,8807,8815,8815,9456,8815,8815,8741,8741,8741,8741,8741,8153,8733,8733,8657,8733
6.0,8917,8917,8917,8917,8771,8978,8978,8979,9838,8987,8987,9611,8987,8987,8911,8911,8911,8911,8911,8345,8903,8903,9352,8903
9.0,9086,9086,9086,9086,8939,9149,9149,9151,9149,9158,9158,9787,9158,9158,9081,10060,9081,9081,9081,8495,9072,9072,8993,9072
