,A,B,C,D,E,F,G,H,I,J,K,L
6.0,724,634,716,538,713,678,541,690,578,690,820,820
9.0,724,634,716,538,713,678,541,690,578,690,820,820
12.0,755,634,716,538,713,678,541,690,578,690,820,820
