,A,A10,A3,A4,A6,B,B3,B6,B7,C,C11,C2,C4,C8,D,D10,D11,D6,D8,E,E11,E3,E7,E8
3.0,5160730,5160730,5160730,5160730,5075770,4570833,4570833,4562544,4570833,4522095,4522095,4850928,4522095,4522095,5174672,5174672,5174672,5174672,5174672,5079319,5196135,5196135,5393311,5196135
6.0,5261030,5261030,5261030,5261030,5174890,4659582,4659582,4651122,5105922,4610331,4610331,4930443,4610331,4610331,5275312,5275312,5275312,5275312,5275312,5198935,5297285,5297285,5826296,5297285
9.0,5360740,5360740,5360740,5360740,5274010,4748331,4748331,4740218,4748331,4698054,4698054,5020731,4698054,4698054,5375952,5955520,5375952,5375952,5375952,5292385,5397840,5397840,5602639,5397840
