,1,10,11,12,13,14,15,16,2,3,4,5,6,8,9,A12,A4,A5,A7,A8
10.0,10420,14264,14478,14478,10854,10784,10284,10243,10761,10830,10830,14264,14264,10529,10243,14820,10830,14264,13005,10687
12.0,10557,11268,14662,14662,10996,10926,10419,10377,10902,10973,10973,11268,11268,10667,10377,15021,10973,14445,13169,10827
14.0,10693,11414,11536,11536,11138,11067,10554,10512,11043,11115,11115,11414,11414,10805,10512,15221,11115,14627,13334,11000
