,A,B,C,D,E,F,F1
3.0,4173168,4099230,4940600,5128866,3370140,4199175,
5.0,4230372,4155840,4994500,5201346,3415500,4257225,
7.0,4290981,4215114,5048400,5278356,3463020,4317975,
