,A,B,C,D,E,F,G,H,J,K,L
8.0,417,251,252,197,308,253,194,248,248,278,193
18.0,417,251,252,197,308,253,194,248,248,278,193
26.0,417,251,252,197,308,253,194,248,248,278,193
