,A,B,C,D,E,F,G,H,I,J,K,L
6.0,10310,10616,10309,10912,9694,10464,10831,10737,10817,10423,9999,9999
9.0,10514,10826,10513,11124,9881,10671,11042,11100,11030,10629,10197,10197
12.0,10610,11031,10714,11330,10062,10874,11246,11144,11237,10831,10392,10392
