,A,B,C,D,E,F,G,H,I,J,K,L
3.0,4389010,4346520,4436130,4301425,6496665,3892285,4470930,4436130,4436130,4436130,4573350,3429175
8.0,4516720,4473975,4565325,4427650,6673800,4031310,4600560,4565325,4565325,4565325,4706100,3543420
12.0,4616050,4584030,4665810,4509675,6809775,4138795,4700610,4665810,4665810,4665810,4809150,3635400
