,A,B,C,C & D,D,E,F,G,H,H & I,I,J,JK,K,L,M,N,O,P,Q,R,S,T,U
3.0,186,216,201,402,201,201,201,201,201,402,201,215,447,232,232,232,232,232,232,238,232,232,203,203
7.0,186,216,201,402,201,201,201,201,201,402,201,215,447,232,232,232,232,232,232,238,232,232,203,203
11.0,186,216,325,402,180,325,230,325,325,402,325,325,447,325,232,232,232,232,232,210,232,232,203,203
