,A,B,C,D,E,F,G,H,whole floor
3.0,4205250,4635500,4744500,4751000,5264500,4163850,3399200,3959600,5415080
7.0,4320900,4763000,4864500,4658800,5304740,4279500,3494750,4064480,4366180
11.0,4428900,4475380,4516200,4783725,5552000,4253430,3724000,4179240,4613520
