,A,B,C,D,E,F,F2,G,H,I
3.0,8901,9037,6640,8974,8974,8808,7452,6656,8030,7097
7.0,9130,9270,9270,9205,9205,9035,7651,6834,8232,7286
11.0,9436,9830,9436,9509,9509,9370,7861,7017,8421,7480
