,A,B,C,D,E,E & F,EF,F
6.0,12834,13608,14439,15617,15019,10149,10943,13705
13.0,13975,14185,14458,16295,15708,10627,11475,14287
20.0,14542,14772,15074,16989,16392,11106,12037,14876
