,200A,202,204,206,206A,whole floor
3.0,3988480,4027530,4029480,4751376,3907540,3942510
6.0,4067900,4106700,4110600,4845702,3984680,4043910
8.0,4117680,4158180,4164030,4907322,4034080,4095390
