,1,10,11,12,2,3,4,5,6,7,8,9,A,B,D,E,F,G,H,J
2.0,4080300,2908028,2570026,2964528,4459056,3755778,3168930,3042843,3013120,3018160,2855616,3009969,3099520,3371325,2971666,2971666,2540367,2986560,2971666,2971666
5.0,4160775,2965552,2620606,3022992,4547445,3828810,3231345,3102874,3100160,3078610,2912112,3070224,3152960,3437685,3030304,3030304,2590504,3046290,3030304,3030304
8.0,4684140,3019572,2671186,3081456,4620378,3901484,3293395,3162905,3127040,3129450,2968287,3120591,3205120,3504045,3088605,3088605,2640364,3099897,3088605,3088605
