,subjFloor,floorLv,unitNo,price,npsf,nfa
14.0/F低層A,14.0,低層,A,19961958,20411,978
28.0/F中層A,28.0,中層,A,22301620,22780,979
42.0/F高層A,42.0,高層,A,23845503,24357,979
14.0/F低層B,14.0,低層,B,18143375,21625,839
28.0/F中層B,28.0,中層,B,19966800,23770,840
42.0/F高層B,42.0,高層,B,21713160,25849,840
14.0/F低層C,14.0,低層,C,9407398,18161,518
28.0/F中層C,28.0,中層,C,12012368,20464,587
42.0/F高層C,42.0,高層,C,13088339,22297,587
14.0/F低層D,14.0,低層,D,9517107,18267,521
28.0/F中層D,28.0,中層,D,11952577,20293,589
42.0/F高層D,42.0,高層,D,12827242,21778,589
