,A,B,C,D,E,F,G,H,I,whole floor
4.0,4835160,3487125,3607400,3477350,3178150,4736640,3376760,3313620,3696300,3487125
8.0,4951320,3572550,3729800,3562775,3595500,4850560,3459170,3397670,3786750,3572550
12.0,4944745,3430800,3791850,3652025,3685175,4970880,3545680,3483770,3880800,3661800
