,A,B,C,D,E,F,G,H,I,I & J,J,K,L,M,N,O,P,Q,R,S
3.0,407,404,420,408,396,396,370,383,383,765,380,562,330,325,389,389,389,389,389,645
7.0,407,404,396,396,396,396,370,383,383,765,382,562,330,325,384,389,389,389,389,645
11.0,407,404,396,396,396,396,396,383,383,765,380,562,330,325,384,389,389,389,389,645
