,A,B,C,D,E,F,G,GH,H,J,K,L
9.0,7219290,5456880,5221632,4891992,4177334,4051080,5156865,9110283,5112324,5356056,5698176,3973098
18.0,7822230,5720260,5862144,5276607,4546591,4342734,5572770,9625395,5333832,5565616,5741472,4602664
25.0,8548800,5916040,5900800,5609422,4831400,4670028,5807370,9952410,5750136,5765008,6110808,4870355
