,A,B,C,C & D,D,E,EF,F,G,G & H,H,I,J,K,L,M,N,O,P,Q,R,S
3.0,214,203,211,420,210,210,420,210,210,420,210,193,200,335,200,218,273,235,210,210,210,280
8.0,214,203,210,420,210,210,420,210,210,420,210,193,200,335,200,218,273,235,210,210,210,280
12.0,214,203,211,420,211,210,420,210,210,420,210,193,200,335,200,218,273,235,210,210,210,280
