,1,10,11,12,13,14,15,1A,2,2A,3,4,5,6,7,8,9
3.0,9391,9386,9641,9312,9604,8850,9676,10786,8457,8964,9757,8282,9669,8242,9688,9760,9604
8.0,9773,9650,9898,9625,9825,9196,9901,11104,8730,9311,9987,8840,9913,8563,9913,9833,9841
13.0,10086,10115,8963,9890,10138,9486,10217,11472,9878,9551,10205,8714,11095,10570,10004,8953,9936
