,13,14,15,16,17,18,C18
5.0,4137210,4120710,4086060,4086060,4268520,4322480,4322480
8.0,4219050,4166910,4166910,4166910,4353365,4408745,4408745
12.0,4324650,4271190,4271190,4271190,4433595,4519505,4519505
