,A,B,C,D,E,E2,F,G,H,I,J,K,L,M,N,O,P,Q
5.0,8626,7681,9773,8305,8364,9488,8363,8252,8467,7079,8631,7140,7279,7404,8820,10050,8588,8660
12.0,9027,7896,10023,8822,8887,9958,8828,8719,8958,8302,8921,9013,9879,8942,9247,10172,8998,9251
18.0,9360,8504,10373,8355,8405,10361,8396,8278,9297,8534,9293,9362,10119,8593,9625,10537,9279,9610
