,A,B,C,D,E,F,G,H,J,K,L
9.0,23559,23984,23885,25967,23174,23440,23747,22147,21903,23850,25823
18.0,24361,24877,24943,27774,24535,24543,24200,23547,22966,25187,27272
25.0,26327,25846,26239,29717,25935,25476,25335,24083,23838,26191,29953
