,A,B,D,E,F,G,H,I,J,K,L
2.0,15597,15226,15275,15499,15458,15482,15435,15499,15571,13757,14405
4.0,15543,15415,15159,15413,15102,15396,15566,15413,15142,13940,14545
6.0,15732,14824,14805,14300,14817,14285,15759,14300,14790,13744,14669
