,A,B,C,D,E,F,G,H,HJ,J
10.0,16754,18051,17867,19191,21102,18409,17957,17784,13211,16571
18.0,20412,19021,18635,20291,19198,19247,19164,18489,13954,19247
26.0,17959,21541,20749,20961,22303,20059,20231,21589,14698,17984
