,A,B,C,D,E,F,G,GH,H,J,K,L
9.0,18511,20988,20397,18888,20578,20460,20223,17969,20287,21597,21584,20586
18.0,20057,22001,22899,20373,22397,21933,21854,18985,21166,22442,21748,23848
25.0,21920,22754,23050,21658,23800,23586,22774,19630,22818,23246,23147,25235
