,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,4,5,6,7,8,9
3.0,3526840,3755640,3834310,3823130,3809370,3855380,3834310,3834310,4149360,3652710,3361680,3361320,3379320,3361080,3509450,3498350,3470600,3585300,3571620,3509450,3509450,3361680,3361680,3072225,3435080,3806560,3746000,3834310,3834310,3755640
8.0,3641170,3897600,3976640,3962880,3947400,4003730,3976640,3976640,4311387,3709504,3484080,3466800,3502080,3657080,3562360,3614900,3588260,3603920,3695500,3562360,3500570,3484080,3484080,3164685,3542750,3562360,3734800,3976640,3976640,3897600
12.0,3792500,4060560,4141330,3728928,4075970,4099190,4141330,4141330,3763270,4016425,3656880,3623040,2995460,3751800,3739960,3802860,3740700,3820520,3853960,3739960,3739960,3656880,3656880,3240930,4432126,3739960,3900400,4141330,4141330,3156445
