,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,27B,28,29,3,30,4,5,6,7,8,9,G1,G11,G17,G18,G2
3.0,8421,8410,8389,8389,8470,8860,8378,8378,8750,8447,8846,8490,8466,8443,8490,8490,8490,8620,9154,8612,8823,8516,8466,8790,8696,8421,8456,8378,8726,8378,8410,8421,8389,8320,8447,8490
8.0,9230,9074,9051,9051,9264,9051,9040,9040,9017,9565,9358,9087,9260,9002,9025,9087,9087,9018,9580,8870,9100,8820,9260,9087,9015,9230,9250,9040,9037,9040,9074,9230,9051,8976,9239,9087
12.0,9473,9595,9930,9941,9509,9510,9283,9969,9467,9838,9560,9334,10337,9274,10100,9334,10178,9832,9869,9193,9321,9525,9505,9334,9796,9473,9354,9283,9289,9510,9595,9473,9295,9218,9483,9334
