,1,10,11,12,2,3,4,5,6,8,9
4.0,345,325,325,425,325,285,285,325,382,325,320
8.0,345,325,325,425,325,285,285,325,382,325,320
11.0,345,325,325,425,325,285,285,325,382,325,320
