,A,B,D,E,F,G,H
4.0,4432530,5657280,5275240,4532200,5733120,5733120,4103090
8.0,4555005,5833440,5421010,4636690,5230080,5891040,4542935
11.0,4641270,5942400,5523780,4714950,6001440,6001440,4628845
