,1,10,11,12,13,14,1404,15,1517,16B,17,18,19,1A,1B,1B & 1C,1B1C,2,2203,3,4,5,6,7,8,9,9A
14.0,885,555,515,616,725,440,720,461,760,202,760,687,538,790,510,908,908,717,1015,743,590,805,736,734,415,525,480
18.0,745,565,513,616,684,440,720,461,760,319,760,586,395,790,510,908,908,717,1015,743,720,805,736,734,415,525,480
23.0,,555,513,616,684,440,720,461,760,319,760,586,395,698,510,908,908,1249,1015,940,1141,588,475,1170,860,525,480
