,A,B,C,D,E,F,G,H,I,J,K
4.0,13261,13403,13321,14135,13008,13686,13554,13465,13701,13579,12922
8.0,13614,13763,13320,12412,13621,14051,13916,13825,14068,13942,13268
12.0,13951,14110,13655,12274,13962,14403,14265,14172,14420,14291,13599
