,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,9822,9253,9253,9274,9248,9187,9605,9627,10447,9234,9700,9525,9523
7.0,10058,9498,9498,9521,9493,9402,9899,9846,10736,9413,9927,9781,9709
11.0,9267,9748,9748,9771,9743,9650,10356,10071,11007,9661,10198,10033,10167
