,1,10,11,12,13,2,3,4,5,6,7,8,9
4.0,4464300,4287725,4254575,5503750,3604500,4254575,3689325,3766560,4259125,4443600,5426825,4077450,4254575
8.0,4519845,4345575,4306575,5469325,3688740,4306575,3787080,3855195,4197375,4505700,5514800,4178200,4306575
11.0,4567455,4419025,4379375,5564100,3751920,4379375,3860610,3921315,4271800,4582980,5608725,4250350,4379375
