,A1,A2,A3,A4,A5,A6,A7,B1,B3,B4,B6,B7
2.0,5282550,3829225,3844355,3906210,4990050,3185130,6076070,4272345,2851692,2772534,2716944,4771000
4.0,5346810,3873725,3888855,3935580,5050305,3223740,6129695,4321350,2885760,2802260,2749686,4795440
7.0,5449500,3911995,3954270,4002775,4800510,3283800,6246240,4393125,2938532,2859040,2800404,4885920
