,A,B,C,D,E,F,G,H,I,J,J-K,JK,K,K & J
3.0,8649,9329,8203,8785,8738,8605,8170,7875,7875,7875,,,7875,
6.0,8792,9485,8345,8930,8854,8759,8312,8014,8014,8014,,,8014,
9.0,8934,9640,8592,9140,8997,8983,8466,8320,8320,8320,,,8320,
