,A,B,C,D,E,E2,F,G,H,I,J,K,L,M,N,O,P,Q
5.0,410,539,503,503,503,265,503,539,510,682,410,673,673,701,335,358,521,615
12.0,410,539,503,503,503,265,503,539,510,418,410,410,410,466,335,358,521,358
18.0,410,416,503,503,503,265,503,539,510,418,406,410,410,466,335,358,521,358
