,A,B,C,E,F,G,H,whole floor
3.0,4977534,4309960,4334340,4381020,4602152,4051575,6643200,4492260
6.0,5046930,4391050,4247950,4463640,4689279,4127805,4750284,4518250
9.0,5141430,4473730,4004338,4547340,4777560,3972960,4839483,4962818
