,A,B,C,D,E,F,G,H,HJ,J
10.0,9298470,7184298,7682810,5622963,8694024,6756103,6823660,8358480,13620541,9296331
18.0,11328660,7570358,8013050,5945263,7909576,7063649,7282320,8689830,14386574,10682085
26.0,9967245,8573318,8922070,6141573,9188836,7361653,7687780,10146830,15153638,10089024
