,A,B,C,D,E,F,G,H,H1,H4
3.0,12585,12028,11969,11864,10843,11852,11925,11676,,
6.0,12829,12264,12205,12097,11057,12085,12160,11906,,
8.0,12993,12422,12362,12189,11199,12241,12316,12059,,
