,A,A1,A2,A3,A5,A6,A7,A8,B1,B2,B3,B5,B6,C1,C2,C3,C5,C6,C7,D1,D1D2,D2,D3,D5
23.0,,592,397,398,407,407,404,540,463,399,404,404,404,395,312,309,310,309,316,315,624,309,310,315
68.0,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,,,,,,,,,,
