,A,B,C,D,E,F,F2,G,H,I
3.0,6898275,6416270,4581600,6640760,6640760,7213752,3390660,4559360,3870460,3910447
7.0,7075750,6581700,6581700,6811700,6811700,7399665,3481205,4681290,3580920,4014586
11.0,6982640,6458310,6982640,6722863,6722863,7214900,3576755,4806645,4058922,4121480
